AGEP,PINCP,POVPIP
10,N,501
80,24000.0,92
45,389000.0,501
76,9600.0,79
44,77000.0,501
30,42500.0,366
60,12000.0,91
49,110000.0,501
35,80000.0,501
60,30000.0,409
74,48900.0,N
36,0.0,N
68,82800.0,501
10,N,501
37,30000.0,99
28,34000.0,N
36,125000.0,501
42,80000.0,501
62,59000.0,501
8,N,409
55,30000.0,332
22,52000.0,441
26,30000.0,227
7,N,146
28,74100.0,501
72,11100.0,144
26,40000.0,501
0,N,501
51,30000.0,501
43,19000.0,108
27,15400.0,114
60,480.0,28
31,42000.0,321
15,0.0,372
40,11800.0,501
11,N,501
40,394700.0,501
53,23000.0,345
54,43000.0,501
19,3500.0,N
53,50000.0,501
55,52000.0,394
53,23000.0,352
41,0.0,501
61,6700.0,92
26,54000.0,402
14,N,380
42,185000.0,501
68,6910.0,384
32,70000.0,343
32,40000.0,302
17,300.0,501
52,0.0,N
2,N,501
67,4800.0,39
38,0.0,244
54,0.0,501
39,0.0,N
47,2000.0,15
55,130000.0,501
36,52000.0,501
73,45300.0,408
49,410000.0,501
5,N,270
3,N,344
42,91000.0,318
68,33000.0,133
36,99000.0,501
71,65000.0,501
7,N,501
9,N,501
55,50000.0,470
25,25000.0,501
1,N,501
24,60000.0,501
32,5000.0,44
58,10000.0,76
72,6000.0,N
14,N,501
7,N,171
28,30000.0,501
62,17300.0,501
76,22200.0,413
23,20000.0,498
32,36500.0,501
25,11500.0,87
55,15000.0,501
50,9000.0,N
42,0.0,11
67,10000.0,86
15,0.0,204
35,29000.0,221
42,24000.0,490
52,46000.0,351
22,16000.0,121
10,N,99
52,62000.0,356
11,N,501
40,900.0,4
24,12000.0,501
56,231000.0,501
28,61200.0,394
87,21800.0,170
9,N,299
22,0.0,N
10,N,0
20,0.0,77
56,2000.0,176
25,32000.0,243
48,140000.0,501
25,70000.0,501
27,29000.0,220
31,15300.0,127
16,1900.0,43
47,115000.0,501
32,225000.0,501
12,N,125
61,0.0,261
27,20100.0,153
35,35000.0,321
73,83400.0,501
20,0.0,N
61,0.0,0
52,46000.0,351
21,8000.0,86
24,38000.0,273
64,53000.0,402
50,90000.0,501
10,N,97
16,1000.0,501
9,N,501
24,9000.0,69
75,13900.0,501
45,68000.0,501
43,30000.0,501
56,30000.0,226
45,50000.0,193
61,43080.0,328
2,N,151
57,41700.0,501
79,36600.0,301
30,37000.0,144
67,12400.0,232
91,13500.0,127
62,25900.0,194
80,17400.0,200
19,9000.0,N
46,80000.0,501
36,105000.0,501
50,60000.0,454
67,9400.0,61
41,55000.0,424
11,N,495
20,0.0,0
44,7200.0,38
57,41000.0,479
56,92000.0,501
19,4000.0,28
20,0.0,N
63,10000.0,76
25,40000.0,303
17,0.0,206
66,36000.0,407
13,N,3
49,120000.0,501
50,185000.0,501
74,180000.0,501
62,268000.0,501
28,0.0,1
64,15100.0,113
48,0.0,74
67,135000.0,501
0,N,501
47,29000.0,219
12,N,154
17,0.0,252
13,N,360
44,4600.0,501
50,16000.0,245
67,20950.0,171
38,0.0,465
48,6600.0,24
94,0.0,276
55,35000.0,501
58,160000.0,501
55,200000.0,501
37,26800.0,202
41,0.0,65
62,17300.0,501
6,N,189
26,0.0,452
38,90000.0,476
27,34100.0,260
18,1000.0,N
82,13600.0,N
51,11200.0,501
44,45000.0,334
7,N,101
43,30000.0,482
18,4000.0,151
29,33050.0,186
46,18600.0,276
29,21600.0,103
55,9000.0,68
75,23000.0,198
14,N,501
13,N,N
29,10000.0,250
53,68200.0,409
23,11000.0,83
7,N,321
27,7400.0,501
62,4100.0,156
41,30000.0,323
15,0.0,80
6,N,103
16,-1220.0,413
13,N,501
70,77400.0,501
15,0.0,150
9,N,501
74,2300.0,132
10,N,501
5,N,124
54,30000.0,501
90,32300.0,246
33,97200.0,501
6,N,310
72,42000.0,501
73,24300.0,193
45,55000.0,472
38,84800.0,501
27,20100.0,153
3,N,329
10,N,448
2,N,501
54,0.0,69
36,11400.0,169
34,82200.0,501
62,10000.0,501
7,N,501
55,3600.0,317
52,100000.0,501
65,8400.0,208
26,32000.0,244
30,58000.0,501
32,60000.0,458
0,N,314
1,N,186
40,3000.0,501
28,4900.0,442
35,57000.0,196
6,N,244
52,310000.0,501
24,0.0,0
28,45000.0,343
85,15600.0,471
52,100000.0,501
44,20000.0,174
5,N,25
8,N,501
62,565100.0,501
67,32000.0,437
62,100150.0,501
4,N,144
3,N,501
38,46000.0,501
15,0.0,501
53,13600.0,102
54,0.0,334
54,30000.0,501
21,3800.0,N
36,24000.0,177
1,N,121
64,47000.0,501
43,9400.0,51
36,14300.0,501
31,0.0,0
62,17000.0,126
50,0.0,147
13,N,501
24,5000.0,254
35,100000.0,501
55,0.0,0
39,19200.0,166
18,0.0,N
34,86400.0,501
83,11200.0,92
16,0.0,85
38,145000.0,501
39,3500.0,N
0,N,501
31,88000.0,501
15,0.0,412
47,38000.0,294
18,0.0,417
68,9000.0,74
7,N,101
93,9600.0,78
27,90000.0,501
17,500.0,501
74,17200.0,153
35,69500.0,N
2,N,133
52,60000.0,501
69,37000.0,305
80,56000.0,501
20,10000.0,324
2,N,501
43,30000.0,317
61,190000.0,501
63,82000.0,501
8,N,182
38,0.0,501
20,2500.0,439
16,0.0,501
11,N,325
39,586000.0,501
2,N,112
48,9100.0,501
66,0.0,480
44,170000.0,501
0,N,88
19,0.0,N
38,126000.0,501
67,19500.0,378
25,10000.0,250
74,2300.0,15
57,12960.0,501
26,31200.0,237
42,74000.0,321
24,24000.0,501
50,150000.0,501
15,2200.0,501
14,N,501
58,150000.0,501
56,0.0,0
53,0.0,501
46,112000.0,501
31,10000.0,73
24,0.0,0
69,273700.0,501
24,37000.0,233
12,N,77
57,22200.0,168
30,25000.0,218
42,260000.0,501
63,114000.0,501
82,71580.0,501
53,0.0,0
72,42000.0,501
27,0.0,N
14,N,501
51,55000.0,169
65,12000.0,501
31,112000.0,501
54,0.0,310
11,N,411
23,0.0,56
73,16700.0,501
57,56000.0,501
57,0.0,137
60,15600.0,78
15,0.0,137
60,0.0,0
69,14700.0,501
0,N,501
46,11000.0,63
54,80000.0,501
72,136200.0,501
43,30000.0,175
31,-7250.0,0
60,54000.0,410
22,6000.0,45
67,6700.0,142
41,0.0,323
48,90000.0,501
48,27000.0,232
37,85000.0,501
52,104000.0,501
2,N,83
60,51000.0,501
12,N,94
56,210400.0,501
62,45500.0,384
57,0.0,253
23,15000.0,113
31,23000.0,174
73,18000.0,352
23,23000.0,241
10,N,501
62,48000.0,501
76,17800.0,318
46,0.0,153
24,46030.0,350
60,20000.0,277
24,730.0,N
47,13700.0,501
13,N,501
53,33500.0,249
77,0.0,N
67,219000.0,501
16,0.0,501
49,40000.0,303
57,43000.0,408
16,0.0,34
45,155000.0,501
63,54800.0,501
41,115000.0,501
9,N,271
22,0.0,N
19,0.0,N
21,4500.0,35
19,0.0,N
1,N,292
35,0.0,0
26,5000.0,N
3,N,175
63,88000.0,501
32,110000.0,501
61,40000.0,302
31,180000.0,501
35,40000.0,314
23,53700.0,408
15,40.0,490
21,0.0,N
2,N,162
67,85800.0,501
65,18000.0,501
50,26000.0,165
60,66000.0,448
11,N,501
43,0.0,0
44,60000.0,341
61,30000.0,404
57,6000.0,45
57,8000.0,52
29,0.0,0
8,N,501
79,6100.0,80
32,25360.0,192
15,0.0,465
69,244000.0,501
58,38800.0,292
60,10000.0,266
2,N,128
54,10000.0,142
55,54000.0,501
7,N,103
89,5600.0,N
60,50000.0,451
7,N,349
14,N,322
28,30700.0,178
19,800.0,487
69,84000.0,501
67,18400.0,151
57,423000.0,501
27,7500.0,57
36,31000.0,102
4,N,63
51,18300.0,501
50,10300.0,80
78,30000.0,501
3,N,127
9,N,501
23,8000.0,501
60,0.0,501
9,N,86
20,3500.0,179
50,13000.0,243
86,16900.0,N
22,10000.0,76
46,26200.0,303
55,107000.0,501
68,15720.0,249
62,24700.0,146
37,138000.0,501
21,5000.0,38
58,30400.0,230
66,23000.0,177
57,75000.0,501
56,0.0,0
11,N,52
84,8400.0,208
27,230000.0,501
12,N,403
77,19600.0,162
0,N,501
13,N,501
69,7900.0,65
18,1000.0,N
57,65000.0,488
15,0.0,N
50,45800.0,174
4,N,215
71,11100.0,318
61,22000.0,189
24,40000.0,304
49,116700.0,501
63,30000.0,417
43,180000.0,501
26,0.0,491
2,N,219
2,N,501
56,39500.0,501
42,91000.0,318
33,125040.0,501
36,60000.0,455
15,0.0,501
81,1900.0,N
33,28000.0,398
32,95000.0,501
20,0.0,N
70,24500.0,205
5,N,93
19,0.0,N
69,44400.0,501
42,71000.0,501
64,42000.0,501
63,112200.0,501
2,N,55
62,23300.0,177
37,57000.0,260
88,0.0,N
12,N,268
55,216000.0,501
29,33050.0,186
24,11500.0,366
37,0.0,23
83,9300.0,N
72,156010.0,501
77,21600.0,302
17,3000.0,188
34,66500.0,501
59,50000.0,381
60,170000.0,501
84,33860.0,247
50,14900.0,205
56,0.0,N
21,0.0,210
80,55000.0,501
6,N,501
18,32000.0,N
29,150000.0,501
86,128800.0,501
7,N,501
61,19200.0,159
80,19200.0,N
0,N,331
68,33100.0,148
14,N,273
60,9500.0,72
27,215000.0,501
39,100000.0,265
4,N,501
69,63000.0,501
37,2200.0,16
72,201000.0,501
22,5240.0,37
16,0.0,150
11,N,311
22,5000.0,N
4,N,199
77,101400.0,501
30,58000.0,440
38,145000.0,227
20,0.0,77
28,109000.0,501
67,20000.0,501
36,0.0,501
25,80000.0,501
38,115000.0,501
15,200.0,92
35,1000.0,501
24,73000.0,501
8,N,398
19,24000.0,307
2,N,501
20,0.0,N
43,50900.0,380
12,N,501
21,25000.0,188
31,61000.0,441
30,43000.0,326
27,21700.0,167
19,0.0,0
73,181000.0,501
26,0.0,258
40,47000.0,372
37,110000.0,501
47,91000.0,501
60,40000.0,422
37,85000.0,501
91,13980.0,N
69,24500.0,202
9,N,0
13,N,501
60,0.0,0
55,93070.0,501
19,800.0,40
34,2000.0,22
68,94070.0,501
28,96900.0,501
27,120000.0,501
34,80000.0,501
5,N,283
9,N,0
8,N,501
37,9200.0,55
16,0.0,183
63,50000.0,341
30,20000.0,188
59,35000.0,245
28,45000.0,228
68,89000.0,501
17,0.0,501
16,0.0,206
22,45000.0,351
61,130000.0,501
55,22000.0,501
29,50000.0,379
51,418000.0,501
33,55000.0,219
59,59000.0,501
32,31000.0,236
9,N,501
64,0.0,N
8,N,95
11,N,114
20,0.0,188
70,18900.0,242
48,250000.0,501
66,169000.0,501
87,32700.0,298
4,N,501
72,10700.0,88
18,5400.0,N
10,N,501
77,12000.0,78
4,N,425
69,0.0,0
60,35000.0,267
63,180000.0,501
86,456000.0,501
56,34000.0,489
0,N,501
60,12700.0,75
56,40000.0,304
20,10000.0,213
30,35400.0,367
40,43000.0,501
92,23000.0,171
59,0.0,146
60,12100.0,100
17,4200.0,31
42,600.0,76
41,239900.0,501
48,84000.0,501
38,50000.0,113
42,22400.0,138
85,27500.0,227
7,N,501
16,0.0,345
2,N,60
38,130000.0,501
70,20400.0,230
29,12000.0,160
7,N,261
13,N,117
7,N,501
40,60000.0,453
74,32400.0,347
76,22800.0,212
39,0.0,501
73,591000.0,501
69,0.0,0
70,10200.0,181
55,9600.0,158
68,16800.0,118
3,N,62
70,15600.0,122
73,27700.0,403
44,426000.0,501
46,30000.0,241
77,15600.0,501
4,N,501
60,22200.0,112
24,18000.0,137
74,27000.0,393
48,253000.0,501
9,N,501
31,85000.0,501
83,36700.0,N
17,2000.0,266
19,75000.0,N
17,0.0,105
3,N,488
39,117000.0,501
40,9700.0,100
8,N,501
28,0.0,54
55,100200.0,501
28,95100.0,501
66,646000.0,501
29,45000.0,350
60,12700.0,97
33,85000.0,501
62,516050.0,501
4,N,N
67,62900.0,501
89,10200.0,54
66,32600.0,260
17,0.0,37
75,565000.0,501
62,0.0,501
0,N,165
25,130000.0,501
21,40000.0,N
43,100000.0,501
7,N,501
60,0.0,501
37,0.0,118
69,60800.0,439
60,725000.0,501
3,N,501
42,521000.0,501
45,44500.0,265
47,5000.0,71
48,0.0,0
64,36000.0,279
18,20000.0,N
22,11000.0,76
77,40100.0,394
38,9530.0,80
62,15600.0,N
28,45000.0,441
17,0.0,N
46,108900.0,501
27,180000.0,501
62,16800.0,501
56,140000.0,501
60,9000.0,67
54,250000.0,501
47,0.0,90
24,5000.0,254
36,138000.0,501
20,8000.0,60
72,45200.0,408
86,16700.0,137
20,2000.0,N
21,16080.0,120
7,N,219
30,30000.0,226
69,17300.0,142
54,0.0,0
68,154500.0,501
87,185300.0,501
62,15700.0,452
0,N,161
26,62000.0,501
77,19800.0,96
4,N,331
5,N,501
90,184200.0,501
49,24000.0,213
48,115000.0,501
29,70000.0,501
21,15000.0,113
66,117200.0,501
72,31200.0,501
27,0.0,N
56,120270.0,501
89,17900.0,256
8,N,501
39,20.0,501
79,15100.0,115
26,56000.0,439
25,3000.0,501
31,38000.0,384
34,25000.0,286
16,1800.0,43
12,N,266
74,9000.0,117
30,2000.0,15
24,55000.0,418
18,0.0,501
59,80000.0,501
34,55000.0,433
62,69000.0,501
72,25800.0,501
21,0.0,501
41,38000.0,183
64,60000.0,458
28,82000.0,501
40,45000.0,339
25,51000.0,388
19,0.0,10
34,37500.0,254
32,30000.0,355
49,81600.0,501
32,9200.0,69
36,91000.0,501
60,105000.0,501
59,80000.0,501
33,4800.0,33
34,24900.0,188
51,5900.0,44
3,N,501
94,5900.0,48
30,28900.0,145
19,32000.0,N
22,16700.0,127
2,N,392
2,N,12
31,0.0,N
25,6400.0,48
61,10000.0,77
67,60000.0,321
2,N,501
23,25010.0,157
20,0.0,292
58,20000.0,227
35,15600.0,120
31,130000.0,384
23,5200.0,148
74,418000.0,501
19,0.0,N
36,109000.0,501
68,0.0,0
57,10600.0,470
18,3100.0,N
10,N,469
20,1000.0,7
28,61000.0,394
55,0.0,339
24,10000.0,76
33,64000.0,492
43,175000.0,501
53,100000.0,501
6,N,98
21,14000.0,N
29,70000.0,501
38,100000.0,501
29,36000.0,274
66,18000.0,216
62,9100.0,69
42,150000.0,501
48,300000.0,501
63,28400.0,255
49,4000.0,19
76,17800.0,384
49,0.0,140
7,N,326
57,30000.0,306
30,40000.0,413
21,13200.0,112
32,36000.0,501
28,16000.0,62
52,125000.0,501
46,50000.0,485
54,120000.0,501
74,24800.0,203
12,N,266
30,43000.0,333
11,N,87
30,20000.0,152
18,2000.0,417
63,21000.0,501
35,83000.0,501
26,68000.0,501
71,9210.0,N
64,139990.0,501
67,71700.0,501
63,107000.0,501
77,19800.0,N
38,50000.0,501
50,5000.0,154
67,24000.0,501
43,80000.0,292
32,0.0,105
26,50000.0,381
7,N,148
90,9600.0,N
29,38000.0,289
51,105000.0,501
19,6000.0,N
21,4300.0,165
58,28800.0,219
44,80000.0,466
74,60300.0,501
67,30000.0,249
29,59000.0,448
57,12100.0,71
32,225000.0,501
47,0.0,N
11,N,98
30,30000.0,176
80,22000.0,317
76,37000.0,501
45,82000.0,501
5,N,404
14,N,113
4,N,184
51,20000.0,283
65,75000.0,501
5,N,501
24,12200.0,501
3,N,0
36,135000.0,501
67,40200.0,305
5,N,99
7,N,7
45,0.0,443
69,24500.0,158
74,25000.0,206
10,N,501
13,N,501
30,20000.0,305
37,158000.0,501
66,39200.0,318
60,9200.0,69
18,0.0,0
27,60000.0,501
27,60000.0,374
10,N,389
8,N,501
9,N,501
21,17500.0,N
63,16900.0,114
18,0.0,501
94,161100.0,501
61,0.0,501
49,85000.0,501
77,0.0,501
24,0.0,190
29,8800.0,41
22,6900.0,53
71,13800.0,114
35,74000.0,501
82,13600.0,156
48,240000.0,501
18,0.0,139
66,49400.0,501
33,12500.0,454
63,54000.0,501
10,N,116
61,0.0,47
6,N,2
19,1200.0,9
13,N,16
25,27000.0,196
23,60000.0,458
32,66000.0,501
57,0.0,501
15,0.0,103
75,120000.0,501
60,48000.0,283
75,156700.0,501
46,152000.0,501
25,6000.0,385
16,0.0,N
26,31200.0,400
28,127000.0,501
77,33030.0,268
56,74000.0,501
78,16700.0,137
22,16000.0,261
74,284900.0,501
48,30000.0,337
41,41000.0,337
42,250.0,0
57,90000.0,501
72,52950.0,437
53,0.0,94
62,48000.0,501
39,3000.0,22
12,N,63
67,427000.0,501
63,454510.0,501
4,N,501
20,25000.0,218
36,92000.0,501
75,27000.0,393
0,N,86
52,49000.0,374
46,0.0,N
49,624000.0,501
64,147900.0,501
77,206000.0,501
5,N,428
48,7000.0,62
26,200000.0,501
51,0.0,501
28,75000.0,501
30,32000.0,244
3,N,501
12,N,322
57,50000.0,501
30,66000.0,501
48,24000.0,341
19,0.0,N
45,9000.0,67
18,210.0,501
59,18000.0,156
76,174700.0,501
13,N,108
10,N,0
83,64100.0,501
25,22000.0,501
21,1200.0,9
1,N,501
63,0.0,0
68,23000.0,276
27,86500.0,501
35,50000.0,501
64,53000.0,402
81,33060.0,387
56,60000.0,501
36,31000.0,102
23,9300.0,48
9,N,409
57,423000.0,501
65,90000.0,501
10,N,155
4,N,365
25,85000.0,501
78,10600.0,86
66,22800.0,414
27,8000.0,72
11,N,98
62,0.0,501
86,18000.0,501
74,16000.0,132
62,0.0,197
25,21800.0,501
19,0.0,N
57,41000.0,501
62,15000.0,501
63,178900.0,501
56,40000.0,220
62,141000.0,501
24,0.0,0
53,113000.0,501
73,71050.0,501
89,12000.0,111
24,2000.0,49
1,N,501
23,25000.0,N
39,40000.0,256
30,56000.0,423
7,N,68
15,0.0,204
29,20000.0,120
47,11000.0,83
17,2000.0,308
67,78000.0,501
22,30000.0,308
45,50000.0,501
55,7800.0,136
87,1327000.0,501
46,144800.0,501
11,N,409
13,N,501
61,15300.0,466
46,14000.0,N
28,24800.0,501
62,17000.0,182
55,50000.0,501
54,4300.0,32
53,0.0,99
28,31000.0,236
38,6000.0,501
46,11000.0,134
73,119000.0,501
26,25000.0,142
4,N,120
52,8400.0,85
55,58000.0,501
71,9800.0,207
43,10000.0,338
18,0.0,N
35,57000.0,439
63,58000.0,443
63,13000.0,73
32,25000.0,302
9,N,95
30,0.0,143
47,20400.0,501
4,N,222
10,N,501
21,3000.0,22
45,68000.0,501
46,20000.0,501
60,140000.0,501
29,2990.0,N
35,41000.0,N
51,0.0,501
51,1400.0,10
4,N,501
34,8500.0,501
48,57200.0,435
10,N,161
58,140000.0,501
37,140000.0,501
54,0.0,N
26,37600.0,287
54,140300.0,501
55,90000.0,501
70,24000.0,198
68,33100.0,133
28,52000.0,299
48,140000.0,501
44,17000.0,215
14,N,132
30,15000.0,111
61,31700.0,241
48,21800.0,291
39,47000.0,384
0,N,214
39,18000.0,137
55,13000.0,501
53,7800.0,501
11,N,409
12,N,501
25,18000.0,137
0,N,501
5,N,501
70,14410.0,315
40,150500.0,501
58,0.0,0
23,26000.0,194
2,N,501
45,53000.0,312
77,41000.0,501
27,1200.0,501
66,54200.0,476
0,N,291
51,35000.0,257
32,51200.0,454
64,27500.0,203
39,165300.0,501
66,5500.0,52
4,N,404
29,72000.0,499
26,0.0,258
17,0.0,71
71,11000.0,142
41,9300.0,36
21,4500.0,35
34,40000.0,501
10,N,153
20,2000.0,15
31,6300.0,56
38,81500.0,168
40,50000.0,501
56,77500.0,501
23,73000.0,501
28,14700.0,215
24,12000.0,113
54,552000.0,501
15,0.0,501
94,93100.0,501
70,15000.0,129
54,40000.0,284
17,6500.0,501
55,100200.0,501
42,92000.0,501
49,100000.0,501
6,N,501
60,49000.0,480
35,140400.0,501
67,20000.0,246
55,22000.0,501
49,27000.0,185
21,1600.0,11
30,40000.0,302
47,17600.0,85
53,423000.0,501
23,20000.0,151
38,40000.0,501
52,100000.0,501
6,N,3
58,188700.0,501
56,225000.0,501
51,24000.0,350
26,155000.0,501
37,30000.0,289
48,209000.0,501
18,1000.0,N
72,11100.0,144
76,379000.0,501
68,315000.0,501
85,29900.0,N
51,75000.0,501
33,0.0,98
29,72000.0,411
68,31910.0,501
38,82200.0,501
91,13500.0,111
14,N,501
15,0.0,194
19,25000.0,295
49,36700.0,501
35,57000.0,196
33,57000.0,191
31,27000.0,227
15,0.0,501
54,375000.0,501
68,89000.0,501
27,150000.0,501
57,20200.0,382
58,72000.0,501
37,0.0,488
54,55000.0,263
57,87000.0,501
25,3000.0,501
17,600.0,442
69,15000.0,501
53,33500.0,256
21,26000.0,193
18,2400.0,490
39,42000.0,501
51,4100.0,104
4,N,501
33,60000.0,449
20,13300.0,234
63,800.0,6
48,40000.0,328
75,9000.0,363
84,9500.0,501
24,50000.0,376
48,100000.0,501
18,0.0,501
24,20000.0,150
73,52800.0,420
29,100000.0,501
1,N,186
17,4200.0,31
72,6300.0,55
27,56900.0,347
39,24000.0,496
54,75300.0,501
16,0.0,501
12,N,459
56,110000.0,501
20,10000.0,N
30,70000.0,501
87,19700.0,378
56,7000.0,140
16,1200.0,334
62,1500.0,501
11,N,116
49,12000.0,497
10,N,266
87,14400.0,501
30,114000.0,501
46,27000.0,267
33,210000.0,501
35,52000.0,393
74,8400.0,501
11,N,501
14,N,501
45,8000.0,254
66,36000.0,307
40,31000.0,100
26,110.0,334
53,32000.0,429
59,114000.0,501
83,97000.0,501
50,98000.0,501
48,19000.0,357
63,22900.0,166
32,80000.0,501
61,29700.0,404
60,70000.0,501
22,50000.0,415
24,15000.0,501
39,100000.0,489
70,10400.0,501
11,N,102
44,307000.0,501
13,N,0
80,24000.0,282
21,0.0,0
89,16100.0,N
0,N,501
5,N,501
49,124000.0,501
70,7800.0,401
32,48500.0,387
33,45010.0,342
63,170080.0,501
18,20000.0,N
73,12900.0,106
15,0.0,109
18,60.0,289
81,17000.0,105
45,0.0,501
6,N,N
67,311000.0,501
54,60000.0,501
72,12000.0,98
35,14600.0,266
9,N,418
1,N,97
0,N,501
42,136000.0,501
11,N,288
66,0.0,30
47,8900.0,144
23,54000.0,407
4,N,501
9,N,501
52,8400.0,85
31,61000.0,465
66,17400.0,249
26,70000.0,501
91,2700.0,14
47,70000.0,501
9,N,264
16,0.0,501
76,13200.0,108
83,4300.0,N
20,8000.0,N
5,N,315
16,2500.0,501
30,14100.0,166
42,130000.0,501
12,N,291
61,4100.0,32
75,29700.0,248
8,N,N
42,32000.0,124
52,44000.0,261
56,68000.0,501
21,3800.0,N
73,27500.0,280
26,66000.0,497
69,11200.0,92
54,28020.0,221
52,50000.0,333
4,N,501
64,17900.0,455
39,32000.0,501
56,90000.0,501
58,68000.0,501
21,10000.0,76
40,9000.0,107
57,432000.0,501
59,6000.0,71
46,70000.0,293
53,37900.0,288
16,0.0,168
0,N,501
31,76000.0,501
66,49400.0,438
57,8900.0,52
80,15000.0,124
49,97000.0,501
34,0.0,311
1,N,73
66,523580.0,501
71,89600.0,501
