,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
80,1,N,2,1,2,N,N,1
81,3,N,1,1,1,N,N,2
82,1,4,2,1,2,N,8,5
83,2,6,2,1,2,N,5,5
84,1,6,2,1,2,N,0,4
85,2,4,2,1,2,N,5,5
86,1,1,1,1,2,N,2,9
87,2,1,2,1,1,N,9,10
88,9,N,2,1,2,N,4,3
89,1,6,2,2,0,N,1,8
90,1,1,1,1,1,N,2,7
91,2,6,2,1,1,N,0,4
92,3,1,1,1,2,N,8,10
93,1,6,1,1,2,N,0,5
94,9,5,2,2,0,N,0,4
95,2,4,1,1,2,N,2,6
96,9,N,2,1,1,N,N,1
97,2,N,1,1,2,N,N,N
98,1,1,1,1,1,N,6,8
99,2,1,1,1,1,N,0,5
100,1,N,2,1,1,N,N,3
101,2,6,2,1,1,N,5,5
102,2,1,2,1,2,N,3,7
103,1,1,1,1,2,N,7,7
104,2,1,1,1,1,N,4,5
105,1,6,2,1,1,N,7,5
106,1,1,1,1,1,N,9,10
107,2,6,2,1,2,N,3,5
108,1,1,2,1,1,N,9,11
109,1,6,2,1,2,N,0,9
110,1,4,1,1,2,N,6,10
111,6,6,1,1,1,N,9,9
112,1,6,2,1,2,N,0,7
113,1,1,1,1,1,N,7,9
114,2,6,2,1,2,N,4,7
115,9,N,2,1,1,N,N,N
116,2,N,2,1,1,N,N,2
117,1,1,2,1,2,N,0,7
118,2,6,2,1,2,N,0,7
119,1,1,1,1,1,N,3,7
120,3,N,2,1,2,N,N,1
121,2,6,1,1,2,N,5,5
122,1,2,2,2,0,N,4,9
123,1,1,2,1,1,N,4,10
124,1,6,1,1,1,N,1,4
125,1,1,2,1,1,N,9,7
126,1,1,1,1,1,N,9,11
127,1,6,1,3,0,N,0,5
128,1,3,2,1,1,N,5,5
129,1,N,2,1,1,N,N,2
130,1,1,1,1,1,N,9,9
131,6,6,1,1,2,N,6,7
132,2,1,2,1,2,N,2,4
133,2,3,2,1,1,N,5,6
134,1,1,2,1,1,N,0,7
135,2,6,2,1,1,N,0,5
136,1,N,2,1,1,N,N,3
137,1,1,2,1,1,N,8,7
138,1,4,2,1,2,N,7,7
139,2,N,1,1,2,N,1,1
140,1,3,1,1,1,2,4,7
141,2,3,2,1,2,N,7,8
142,2,1,2,1,1,N,6,9
143,1,1,1,1,1,N,6,10
144,1,6,2,1,2,N,1,10
145,2,6,1,1,2,N,8,7
146,1,6,2,1,1,N,4,7
147,1,6,1,3,0,N,2,9
148,2,6,1,1,2,N,2,4
149,1,N,2,1,1,N,N,3
150,1,6,1,1,2,N,0,5
151,3,2,2,1,1,N,5,5
152,9,N,1,1,1,N,N,2
153,1,6,1,2,0,N,2,5
154,1,3,1,1,2,N,8,12
155,2,N,2,1,1,N,N,3
156,1,4,1,1,2,N,9,2
157,1,1,2,1,1,N,4,5
158,1,1,2,1,1,N,4,10
159,2,4,1,1,2,N,3,5
160,1,1,2,1,1,N,9,9
161,1,4,1,1,1,N,8,10
162,2,6,2,3,0,N,0,7
163,2,1,1,1,1,N,9,11
164,1,1,1,1,1,N,9,11
165,1,6,1,1,1,N,2,5
166,1,6,2,3,0,N,4,9
167,1,4,2,1,1,N,1,7
168,1,N,2,1,1,N,N,N
169,1,1,2,1,1,N,7,10
170,1,1,1,1,1,N,9,10
171,2,1,1,1,1,N,4,5
172,1,6,2,1,2,N,5,9
173,1,1,2,1,1,N,5,8
174,1,1,2,1,1,N,3,9
175,1,1,2,1,1,N,9,11
176,1,N,2,1,1,3,N,3
177,1,1,2,1,1,N,6,9
178,2,6,2,1,1,N,4,7
179,2,6,2,1,2,N,4,9
180,1,1,2,1,1,N,9,9
181,1,1,2,1,1,N,9,9
182,1,1,1,1,1,N,7,8
183,1,6,2,1,2,N,1,7
184,2,4,1,1,1,N,4,8
185,6,6,1,1,2,N,3,7
186,1,1,2,1,1,N,7,12
187,1,6,1,1,2,N,0,10
188,1,1,1,1,1,N,9,9
189,1,1,2,1,1,N,5,5
190,1,1,1,1,1,N,4,7
191,6,6,2,1,1,N,5,9
192,2,6,1,1,1,N,9,7
193,1,6,2,3,0,N,1,7
194,6,N,1,1,1,N,N,3
195,2,1,1,1,1,N,2,5
196,1,6,2,1,1,N,4,8
197,1,1,2,1,1,N,5,5
198,1,6,2,1,1,N,1,4
199,2,6,2,1,1,N,6,7
200,1,3,2,1,1,N,8,10
201,9,6,2,1,2,N,0,3
202,1,1,2,1,1,N,8,8
203,1,N,2,1,1,N,N,2
204,1,N,1,1,1,N,N,3
205,1,6,2,1,1,N,8,9
206,2,1,2,1,1,N,5,7
207,9,1,2,1,2,N,8,10
208,6,1,1,1,2,N,8,9
209,1,1,1,1,1,N,9,10
210,2,6,1,1,2,N,6,5
211,8,6,1,1,2,N,0,5
212,9,5,2,1,2,N,0,7
213,2,1,2,1,1,N,5,10
214,1,N,2,1,1,N,N,3
215,1,N,2,1,1,N,N,3
216,1,1,2,1,1,N,3,8
217,1,6,2,1,1,N,1,7
218,2,N,2,1,1,N,N,2
219,1,N,1,1,1,N,N,3
220,1,6,2,1,1,N,4,5
221,2,3,2,1,2,N,7,N
222,1,4,1,1,1,N,4,10
223,3,1,1,1,2,N,3,5
224,2,6,2,1,2,N,2,5
225,6,1,1,1,1,N,0,10
226,1,4,1,1,1,N,8,7
227,1,1,2,1,1,N,2,1
228,6,1,2,1,1,N,5,9
229,1,1,1,1,1,N,7,5
230,2,6,1,3,0,N,5,7
231,1,1,2,1,1,N,9,10
232,1,1,1,1,1,N,4,7
233,1,N,1,1,2,N,N,3
234,1,4,2,1,2,N,0,7
235,8,6,1,1,1,N,0,7
236,1,1,2,1,1,N,6,9
237,8,1,2,1,1,N,7,7
238,2,6,2,1,1,N,0,5
239,6,1,1,1,1,N,0,12
240,1,6,2,1,2,N,3,6
241,1,1,1,1,1,N,2,3
242,2,5,2,1,1,N,1,9
243,1,6,2,1,1,N,1,5
244,6,6,2,3,0,N,3,10
245,1,1,1,1,1,N,0,4
246,1,4,1,1,1,N,9,10
247,1,1,1,1,1,N,3,5
248,1,6,2,3,0,N,0,7
249,1,1,1,1,1,N,6,4
250,1,6,1,1,2,N,3,7
251,2,1,2,1,1,N,3,6
252,1,1,2,1,2,N,4,3
253,1,1,1,1,1,N,3,5
254,9,4,1,1,2,N,8,5
255,9,6,2,1,2,5,0,4
256,1,1,2,1,1,N,9,11
257,2,6,2,1,2,N,2,7
258,2,3,2,2,0,N,2,5
259,1,1,1,1,1,N,5,5
260,1,1,2,1,1,N,4,9
261,7,N,2,1,2,N,5,8
262,9,6,2,1,1,N,2,4
263,2,N,1,1,1,N,N,2
264,1,1,1,1,1,N,9,9
265,2,6,1,1,2,N,0,3
266,1,6,1,1,1,N,5,9
267,2,N,1,1,2,N,N,3
268,2,N,2,1,2,N,N,N
269,1,6,1,1,2,N,4,9
270,2,N,1,1,2,N,N,N
271,1,4,2,2,0,N,6,5
272,2,N,1,1,2,N,N,3
273,1,1,2,1,2,N,2,7
274,1,1,1,1,2,N,7,9
275,2,6,1,3,0,N,0,7
276,3,6,1,1,1,N,1,5
277,3,3,2,1,1,N,3,7
278,9,1,1,1,1,N,9,9
279,1,6,1,1,2,N,5,9
280,2,4,2,1,2,N,3,4
281,2,6,2,2,0,N,2,7
282,1,N,1,1,1,N,N,3
283,2,N,2,1,1,N,N,2
284,1,6,2,1,1,N,9,9
285,1,3,2,1,1,N,9,6
286,2,6,1,1,1,N,8,7
287,2,1,1,1,1,N,4,8
288,2,N,2,1,1,N,N,3
289,1,6,1,1,2,N,4,5
290,1,N,1,1,1,N,N,3
291,1,1,2,1,1,N,0,9
292,1,6,2,1,2,N,7,9
293,2,N,2,1,2,N,N,N
294,2,1,2,1,1,N,7,7
295,9,1,2,1,2,N,1,6
296,3,N,2,1,2,N,N,3
297,6,1,1,1,2,N,9,7
298,1,1,2,1,1,N,0,9
299,1,1,2,1,1,N,9,9
300,1,6,2,2,0,N,1,5
301,2,6,1,1,2,N,6,10
302,1,4,1,1,1,5,8,5
303,1,1,2,1,1,N,9,11
304,3,5,2,1,2,N,6,4
305,1,1,1,1,1,N,8,5
306,1,6,2,1,1,N,5,10
307,2,5,2,1,1,N,4,5
308,2,6,2,1,2,N,0,4
309,2,6,1,3,0,N,0,4
310,1,1,1,1,1,N,9,11
311,2,6,2,1,2,N,6,9
312,1,6,1,1,1,N,3,3
313,1,1,2,1,1,N,0,5
314,2,N,1,1,1,N,N,3
315,1,6,2,1,2,N,4,7
316,1,N,2,1,1,N,N,2
317,1,4,2,1,1,N,8,5
318,1,1,2,1,1,N,0,9
319,2,6,2,1,1,N,2,7
320,1,1,1,1,1,N,2,6
321,2,1,2,1,1,N,3,5
322,1,1,1,1,1,N,9,8
323,6,1,2,1,2,N,5,9
324,1,1,1,1,1,N,8,9
325,1,4,1,1,1,N,3,3
326,2,6,2,1,2,N,3,7
327,2,6,1,1,1,N,2,5
328,1,1,2,1,1,N,9,9
329,1,1,2,1,1,N,7,9
330,1,N,1,1,2,N,N,1
331,1,N,2,1,1,5,N,N
332,2,1,1,1,1,N,2,10
333,1,1,1,1,1,N,9,9
334,1,1,1,1,1,N,5,5
335,1,N,2,1,1,N,N,N
336,6,1,1,1,2,N,6,9
337,1,1,1,1,1,2,7,9
338,2,6,2,1,2,N,1,5
339,2,1,1,1,2,N,0,5
340,6,1,2,1,2,N,2,10
341,1,6,2,1,2,N,5,9
342,2,6,2,1,2,N,3,5
343,1,1,1,1,1,N,1,7
344,9,1,1,1,2,N,9,9
345,2,3,1,1,1,N,4,7
346,2,N,1,1,2,N,N,1
347,1,1,2,1,2,N,2,7
348,1,1,2,1,1,N,0,5
349,1,1,2,1,1,N,8,9
350,2,4,2,1,2,N,5,7
351,3,6,2,1,2,N,5,7
352,2,6,2,1,1,N,0,4
353,6,6,2,3,0,N,0,9
354,2,1,1,1,1,N,3,5
355,6,1,2,1,1,N,9,9
356,2,4,2,1,2,N,7,9
357,1,1,1,1,1,N,9,9
358,8,4,2,1,1,N,4,10
359,6,6,2,1,2,N,0,12
360,1,N,2,1,1,N,N,3
361,1,3,2,1,1,N,8,10
362,6,N,2,1,1,N,N,2
363,1,6,1,1,1,N,0,4
364,6,1,2,1,1,N,1,9
365,1,1,1,1,2,N,7,11
366,2,6,2,1,2,N,1,4
367,1,1,2,1,1,N,7,11
368,2,6,1,1,1,N,6,8
369,1,5,2,1,2,N,2,5
370,1,1,1,1,1,N,9,11
371,1,4,2,1,1,N,1,7
372,1,1,2,1,1,N,0,10
373,1,3,2,1,2,N,4,4
374,2,6,1,1,1,N,3,5
375,2,N,2,1,1,N,N,1
376,2,6,2,1,2,N,2,3
377,6,6,1,1,1,N,0,4
378,6,1,2,1,1,N,3,9
379,9,1,2,1,1,N,5,7
380,1,1,2,1,1,N,1,8
381,6,N,1,1,1,N,N,1
382,1,1,2,1,2,N,7,6
383,1,1,1,1,1,N,6,9
384,2,4,2,1,1,N,3,7
385,6,3,2,1,2,N,2,5
386,1,6,2,1,2,N,8,10
387,6,1,2,1,1,N,7,12
388,2,1,1,1,1,N,6,3
389,1,N,2,1,2,N,N,3
390,1,6,1,3,0,N,1,7
391,2,N,1,1,2,N,N,2
392,1,3,1,2,0,N,3,5
393,1,6,2,1,2,N,0,7
394,6,1,1,1,1,N,9,10
395,2,6,1,1,2,N,5,5
396,1,N,2,1,1,N,N,3
397,6,1,1,1,2,N,5,9
398,1,N,1,1,1,N,N,N
399,1,1,1,1,1,N,5,11
400,1,6,2,1,1,N,0,4
401,2,6,2,1,2,N,3,5
402,1,1,2,1,1,N,5,9
403,2,N,2,1,2,N,N,3
404,1,6,2,1,1,N,3,8
405,2,3,2,1,2,N,3,5
406,1,3,2,1,1,N,6,9
407,1,5,1,1,1,N,8,9
408,1,1,2,1,1,N,9,9
409,1,6,2,1,1,N,1,4
410,9,6,1,1,1,N,3,3
411,1,3,2,1,1,N,9,11
412,1,1,1,1,2,N,8,9
413,1,1,1,1,1,N,8,10
414,1,3,1,1,1,N,4,11
415,8,6,2,1,2,N,1,7
416,3,1,1,1,2,N,4,4
417,2,6,2,1,2,N,6,7
418,1,1,2,1,1,N,8,5
419,6,2,1,1,1,N,0,1
420,9,6,2,1,2,N,4,3
421,1,6,1,1,1,N,7,9
422,1,1,2,1,1,N,9,9
423,9,6,1,3,0,N,0,7
424,1,1,1,1,1,N,2,4
425,1,N,2,1,2,N,N,3
426,3,6,1,1,2,N,2,5
427,8,4,2,1,2,N,6,8
428,6,6,2,3,0,N,1,11
429,2,4,1,1,1,N,5,8
430,3,1,1,1,2,N,5,4
431,1,6,1,3,0,N,3,7
432,2,4,2,1,1,N,6,7
433,1,1,1,1,1,N,8,10
434,1,1,2,1,1,N,0,9
435,2,6,2,1,2,N,0,4
436,2,1,1,1,1,N,1,5
437,1,4,1,1,2,N,8,12
438,2,1,2,1,1,N,8,8
439,1,1,2,1,1,N,6,5
440,2,N,2,1,1,N,N,2
441,1,6,2,1,1,N,9,10
442,1,1,1,1,1,N,9,9
443,3,6,1,1,2,N,0,4
444,2,1,2,1,1,N,6,5
445,6,1,1,1,1,N,9,11
446,2,6,1,1,2,N,4,7
447,9,N,2,1,2,N,N,N
448,2,1,1,1,1,N,4,9
449,1,6,2,1,2,N,5,9
450,2,6,1,1,2,N,0,9
451,1,6,2,1,1,N,0,4
452,1,N,2,1,1,N,N,3
453,1,1,2,1,1,N,6,9
454,1,N,1,1,1,N,N,3
455,2,6,1,1,2,N,5,7
456,6,1,2,1,2,N,5,8
457,2,4,2,1,1,N,2,5
458,1,1,2,1,1,N,8,9
459,1,6,2,1,1,N,9,10
460,3,N,1,1,2,N,N,3
461,1,6,1,1,2,N,3,7
462,9,N,1,1,1,N,N,N
463,2,N,2,1,2,N,4,3
464,1,1,1,1,1,N,5,10
465,6,1,2,1,2,N,2,8
466,1,1,1,1,1,N,3,9
467,2,N,2,1,1,N,N,3
468,2,N,1,1,2,N,N,1
469,1,6,2,1,2,N,8,9
470,1,1,2,1,1,N,7,10
471,1,1,2,1,1,N,8,7
472,2,4,2,1,1,N,7,7
473,1,6,1,1,1,N,2,3
474,1,N,1,1,2,N,N,3
475,1,1,2,1,1,N,8,11
476,1,4,2,1,1,N,7,9
477,1,N,1,1,1,N,N,3
478,1,N,2,1,2,N,N,3
479,6,6,2,1,2,N,1,9
480,1,1,1,1,1,N,5,5
481,2,3,2,1,2,N,3,5
482,1,1,1,1,1,N,9,9
483,1,6,2,1,2,N,0,4
484,2,N,2,1,1,N,N,2
485,8,6,1,1,2,N,0,4
486,1,1,2,1,1,N,2,3
487,2,N,1,1,1,N,N,3
488,2,N,2,1,1,N,N,3
489,1,N,2,1,1,N,N,3
490,6,1,1,1,1,N,9,12
491,1,1,1,1,1,N,4,7
492,8,6,1,1,1,N,5,4
493,2,1,1,1,2,N,6,10
494,1,6,1,1,2,N,0,6
495,6,6,1,1,2,N,9,10
496,2,1,2,1,1,N,6,4
497,1,1,1,1,1,N,7,9
498,1,1,2,1,1,N,1,9
499,2,6,1,1,1,N,4,4
500,1,1,2,1,1,N,9,12
501,2,N,1,1,2,N,N,3
502,2,4,1,1,1,N,3,7
503,1,1,1,1,1,N,7,9
504,1,1,1,1,1,N,5,4
505,6,1,2,1,1,N,9,10
506,1,6,1,1,1,N,1,6
507,1,1,1,1,1,N,1,9
508,1,1,2,1,2,N,0,6
509,3,1,2,1,1,N,0,5
510,9,6,1,1,2,N,4,9
511,9,N,1,1,1,N,N,2
512,3,6,1,1,2,N,0,4
513,1,6,1,1,1,N,1,4
514,1,4,2,1,2,N,5,9
515,8,4,2,1,1,N,6,10
516,2,6,1,1,2,N,5,6
517,2,6,1,1,2,N,9,10
518,1,N,1,1,1,N,N,3
519,1,4,1,1,2,3,4,9
520,1,N,2,1,1,N,N,3
521,1,1,2,1,1,N,8,10
522,1,1,2,1,1,N,4,10
523,1,4,1,1,1,N,7,5
524,2,2,1,1,1,N,2,5
525,1,3,1,1,1,N,2,4
526,2,1,2,1,2,N,3,5
527,2,2,1,3,0,N,2,5
528,9,1,1,1,1,N,4,5
529,1,1,2,1,1,N,4,5
530,2,4,1,2,0,N,5,6
531,1,6,2,1,2,N,4,9
532,1,N,2,1,1,N,N,1
533,1,5,1,1,1,N,2,8
534,2,1,2,1,1,N,7,12
535,2,N,1,1,2,N,N,N
536,1,1,2,1,1,N,8,11
537,2,1,1,1,1,N,7,5
538,1,1,1,1,1,N,N,10
539,1,1,1,1,1,N,7,5
540,1,4,2,1,2,N,5,9
541,1,N,2,1,2,N,N,3
542,1,6,1,1,2,N,7,5
543,1,1,1,1,2,N,9,9
544,1,6,2,1,1,N,0,4
545,1,N,1,1,1,N,N,3
546,2,5,1,1,2,N,1,5
547,1,1,1,1,1,N,7,10
548,6,6,1,1,2,N,2,9
549,7,6,1,1,2,N,8,8
550,2,4,1,1,1,N,6,1
551,1,4,1,1,1,N,2,5
552,2,6,1,1,2,N,7,7
553,1,6,1,1,2,N,9,9
554,1,6,1,1,2,N,0,7
555,1,6,2,1,2,N,3,10
556,8,N,1,1,2,N,N,3
557,2,N,1,1,1,N,N,N
558,9,1,2,1,1,N,3,7
559,6,N,2,1,2,N,N,2
560,2,4,2,1,1,N,7,6
561,1,6,1,1,2,N,8,11
562,6,6,2,1,2,N,2,10
563,1,3,2,1,1,N,8,9
564,8,4,2,1,2,N,9,11
565,1,4,1,1,1,N,6,5
566,1,6,2,1,1,N,9,10
567,1,6,1,1,2,N,1,5
568,1,2,2,3,0,N,1,5
569,2,4,2,1,1,N,5,7
570,1,N,1,1,2,N,N,N
571,8,6,1,1,1,N,4,5
572,1,1,1,1,1,N,8,8
573,1,6,2,2,0,N,1,5
574,1,6,1,3,0,N,0,7
575,2,N,2,1,2,N,N,2
576,1,6,1,1,2,N,4,8
577,1,1,1,1,1,N,9,11
578,1,3,2,1,2,N,5,9
579,2,6,1,1,2,N,3,5
580,2,1,1,1,2,N,0,5
581,1,4,1,1,2,N,9,11
582,1,1,1,1,1,N,9,12
583,2,4,2,1,2,N,7,8
584,1,1,1,1,1,N,8,11
585,1,N,2,1,2,N,N,N
586,1,3,1,1,1,N,9,5
587,1,6,2,1,1,N,0,3
588,1,1,1,1,1,N,9,11
589,1,6,2,1,2,N,3,7
590,1,4,2,1,1,N,7,11
591,9,1,1,1,2,N,4,8
592,2,6,2,1,2,N,4,6
593,2,3,2,1,1,N,4,7
594,1,1,2,1,2,N,5,9
595,1,6,1,1,2,N,0,5
596,1,1,2,1,1,N,9,10
597,1,1,1,1,1,N,8,8
598,2,4,1,1,2,N,5,7
599,1,4,2,1,2,N,5,7
600,2,4,2,1,1,N,5,7
601,1,1,1,1,1,N,5,7
602,2,6,1,1,2,N,0,5
603,8,6,1,1,2,N,4,5
604,2,4,2,1,2,N,1,4
605,6,6,2,1,1,N,8,10
606,9,5,1,1,2,N,5,9
607,1,4,1,1,1,N,3,6
608,2,6,1,1,2,N,3,5
609,2,6,2,1,2,N,4,12
610,3,1,2,1,1,N,3,4
611,1,N,2,1,1,N,N,3
612,2,6,1,1,2,N,4,9
613,8,1,1,1,2,N,0,4
614,2,6,2,1,1,N,4,10
615,2,6,2,1,1,N,0,9
616,8,N,1,1,2,N,N,3
617,2,6,1,1,2,N,1,4
618,3,3,2,1,1,N,5,5
619,6,1,1,1,1,N,0,5
620,1,6,1,1,2,N,9,12
621,1,6,2,1,1,N,7,9
622,9,N,2,1,2,N,N,3
623,2,1,2,1,1,N,3,8
624,8,6,1,1,2,N,2,4
625,8,1,2,1,1,N,0,7
626,9,2,1,3,0,N,1,5
627,6,1,2,1,2,N,9,9
628,1,6,1,1,2,N,1,4
629,6,1,2,1,1,N,3,10
630,2,N,1,1,2,4,N,3
631,2,6,2,1,2,N,2,9
632,1,1,1,1,1,N,8,9
633,2,6,1,1,1,N,2,4
634,1,1,1,1,1,N,9,7
635,1,1,2,1,2,N,0,7
636,2,4,2,1,2,N,0,5
637,8,2,1,3,0,N,3,4
638,1,6,1,1,2,N,1,4
639,6,N,2,1,2,N,N,2
640,1,6,1,1,1,N,0,4
641,1,1,1,1,1,N,6,8
642,2,6,1,1,2,N,7,6
643,2,N,1,1,2,N,N,3
644,1,3,2,1,1,N,1,10
645,1,1,2,1,1,N,7,6
646,1,1,2,1,1,N,3,5
647,8,4,1,1,2,N,3,7
648,2,N,2,1,1,N,N,3
649,1,1,1,1,1,N,3,9
650,2,N,2,1,2,N,N,3
651,2,1,2,1,1,N,9,9
652,2,6,2,1,2,N,6,7
653,1,1,2,1,1,N,4,9
654,2,1,2,1,2,N,0,5
655,1,1,2,1,1,N,2,7
656,1,1,1,1,2,N,9,5
657,1,1,1,1,1,N,4,5
658,1,N,1,1,1,N,N,N
659,8,6,2,1,2,N,6,5
660,2,3,2,1,2,N,0,2
661,1,3,2,1,2,N,2,9
662,6,1,2,1,2,N,0,9
663,1,6,2,1,1,N,5,11
664,3,1,2,1,2,N,2,5
665,2,6,2,1,2,N,4,7
666,2,6,1,1,2,N,8,7
667,1,6,2,3,0,N,2,7
668,1,4,1,1,1,N,9,7
669,1,N,1,1,1,N,N,N
670,1,1,1,1,1,N,8,9
671,1,1,2,1,1,N,2,7
672,6,1,1,1,1,N,5,10
673,1,4,2,1,1,N,4,8
674,2,6,2,3,0,N,0,7
675,1,1,1,1,1,N,9,9
676,1,1,2,1,1,N,8,10
677,1,6,2,1,1,N,3,9
678,1,6,1,1,2,N,1,5
679,1,1,1,1,2,N,9,10
680,1,1,2,1,1,N,9,10
681,1,6,1,1,2,2,6,7
682,1,6,1,1,1,N,1,4
683,6,6,2,1,2,N,0,3
684,2,N,1,1,2,N,N,3
685,1,1,2,1,1,N,9,9
686,2,6,2,1,2,N,0,7
687,2,6,1,3,0,N,4,7
688,2,6,1,1,2,N,6,5
689,1,6,1,1,1,N,8,10
690,1,1,1,1,1,N,9,9
691,1,1,2,1,1,N,8,10
692,2,6,1,1,1,N,8,10
693,9,1,2,1,2,N,1,7
694,1,1,1,1,1,N,1,7
695,1,6,1,1,1,N,6,7
696,3,6,1,1,1,N,0,9
697,1,1,1,1,2,N,8,7
698,2,1,1,1,1,N,0,4
699,1,1,1,1,1,N,8,9
700,1,1,2,1,2,N,4,9
701,1,1,1,1,1,N,8,5
702,6,6,2,1,1,N,2,9
703,6,4,2,1,1,N,6,9
704,1,1,1,1,1,N,9,10
705,2,3,2,2,0,N,1,N
706,1,6,2,1,2,N,5,5
707,1,1,1,1,1,N,5,9
708,1,6,2,3,0,N,3,7
709,1,1,2,1,2,N,2,9
710,1,6,1,1,1,N,4,8
711,1,1,2,1,2,N,1,7
712,3,5,2,1,2,N,2,5
713,2,6,1,1,1,N,9,8
714,2,4,1,1,2,N,6,10
715,1,6,1,1,1,N,8,5
716,1,N,2,1,1,N,N,3
717,1,1,1,1,2,1,9,11
718,2,4,1,1,1,N,9,5
719,1,N,1,1,2,N,N,3
720,6,1,1,1,1,N,9,9
721,1,4,1,1,1,N,7,8
722,1,1,1,1,2,N,8,9
723,1,3,2,1,1,N,3,4
724,1,6,2,1,1,N,1,10
725,1,6,2,2,0,N,0,4
726,1,4,2,1,2,N,4,9
727,1,6,1,1,2,N,8,9
728,2,1,2,1,2,N,0,7
729,1,3,2,1,2,N,5,3
730,2,3,2,1,1,N,2,5
731,1,6,1,1,2,N,3,10
732,1,1,2,1,1,N,2,7
733,1,6,1,2,0,N,1,8
734,2,1,2,1,1,N,2,6
735,1,2,1,1,2,N,4,9
736,2,5,2,1,2,N,6,4
737,1,1,2,1,1,N,0,10
738,1,6,2,1,2,N,2,4
739,3,1,2,1,1,N,0,7
740,1,6,2,1,2,N,8,10
741,1,1,2,1,1,N,7,8
742,1,4,2,1,2,N,7,12
743,1,6,1,1,2,N,0,4
744,1,N,1,1,2,N,N,3
745,1,4,1,1,1,N,9,9
746,9,N,2,1,2,N,N,3
747,3,6,2,1,2,N,2,4
748,1,N,2,1,1,N,N,2
749,1,3,2,1,2,N,7,10
750,1,N,2,1,2,N,N,1
751,2,6,2,1,2,N,7,4
752,2,6,2,1,2,N,7,9
753,2,6,2,1,1,N,8,10
754,1,6,2,1,2,N,1,7
755,1,6,1,1,1,N,0,4
756,1,4,2,1,1,N,3,7
757,1,6,2,1,2,N,6,9
758,1,1,1,1,1,N,3,10
759,7,6,2,1,2,N,1,5
760,8,6,2,1,1,N,0,4
761,6,1,1,1,1,N,2,8
762,3,N,2,1,1,N,N,1
763,1,3,2,1,1,N,9,10
764,6,1,2,1,2,N,9,10
765,1,6,1,1,2,N,3,7
766,2,6,2,1,2,N,0,7
767,1,N,2,1,1,N,N,2
768,1,6,1,1,1,N,0,5
769,9,N,2,1,1,N,N,3
770,2,6,1,3,0,N,3,7
771,2,1,2,1,1,N,7,8
