,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
162,3,N,1,1,1,N,N,3
163,1,1,2,1,1,N,9,12
164,1,1,1,1,1,N,6,9
165,1,1,2,1,1,N,9,10
166,1,1,1,1,1,N,4,5
167,9,1,1,1,1,N,6,9
168,9,6,2,3,0,N,1,7
169,2,N,1,1,1,N,N,3
170,2,4,2,1,2,N,4,5
171,6,6,2,1,1,N,0,4
172,3,6,2,1,1,N,0,5
173,1,6,2,1,1,N,2,4
174,3,6,1,1,1,N,8,8
175,1,6,1,1,1,N,8,9
176,1,N,2,1,2,N,N,3
177,6,6,2,1,1,N,2,7
178,1,1,2,1,2,N,0,5
179,6,6,1,1,1,N,9,11
180,1,1,1,1,1,N,8,7
181,2,1,1,1,1,N,9,9
182,6,6,1,1,1,N,7,7
183,1,1,2,1,1,N,7,10
184,1,1,1,1,1,N,8,7
185,1,N,2,1,1,N,N,1
186,1,6,2,1,1,N,0,5
187,1,1,2,1,2,N,0,7
188,9,1,1,1,1,N,6,1
189,1,N,1,1,2,N,N,N
190,2,3,2,1,1,N,5,5
191,6,1,2,1,1,N,7,10
192,2,6,1,1,2,N,4,5
193,1,1,1,1,1,N,7,9
194,2,6,2,1,2,N,5,9
195,1,6,1,1,2,N,4,5
196,1,1,2,1,1,N,7,8
197,1,6,1,1,1,N,2,5
198,1,6,2,1,2,N,2,7
199,1,4,1,1,2,2,4,5
200,1,1,2,1,2,N,9,10
201,1,6,1,1,2,N,4,9
202,1,1,2,1,2,N,1,10
203,1,1,2,1,1,N,2,7
204,2,3,2,1,1,N,5,9
205,1,6,1,1,2,N,6,7
206,1,6,2,1,1,N,8,9
207,2,1,2,1,2,N,0,5
208,2,1,1,1,1,N,7,7
209,1,6,2,3,0,N,1,7
210,2,N,1,1,2,N,N,3
211,1,4,1,1,2,N,9,9
212,1,1,1,1,2,N,9,11
213,1,6,1,2,0,N,2,5
214,6,1,1,1,2,N,0,7
215,1,6,1,1,1,N,0,1
216,1,1,1,1,2,N,6,7
217,1,6,1,1,1,N,8,9
218,1,1,1,1,1,N,9,11
219,2,6,1,1,2,4,2,4
220,2,6,1,1,2,N,5,6
221,8,1,2,1,2,N,3,9
222,1,6,1,3,0,N,1,7
223,1,1,2,1,1,N,5,11
224,2,6,2,1,1,N,9,9
225,1,1,2,1,1,N,9,9
226,2,3,2,1,1,N,2,5
227,1,1,2,1,1,N,2,10
228,1,1,1,1,1,N,5,11
229,9,N,1,1,1,N,N,N
230,2,1,2,1,1,N,7,9
231,2,1,1,1,1,4,6,5
232,8,6,2,1,2,N,0,4
233,1,6,1,1,2,N,5,8
234,2,N,1,1,2,N,N,3
235,2,1,1,1,1,N,7,12
236,1,N,1,1,2,N,N,N
237,2,6,2,1,1,N,0,4
238,1,1,2,1,2,N,9,9
239,8,6,1,1,2,N,6,1
240,2,5,2,1,2,N,1,9
241,1,1,1,1,1,N,7,9
242,1,1,1,1,1,N,5,7
243,1,1,1,1,1,N,9,10
244,1,1,1,1,1,N,8,9
245,1,3,2,1,1,5,9,9
246,1,4,2,1,2,N,8,12
247,8,N,2,1,1,N,3,3
248,1,1,2,1,1,N,2,7
249,1,N,1,1,1,N,N,3
250,1,4,1,1,1,N,8,7
251,1,1,2,1,1,N,4,7
252,2,N,2,1,2,N,N,N
253,2,6,1,3,0,N,1,7
254,2,N,2,1,1,N,N,N
255,1,4,2,1,1,N,9,11
256,2,6,2,1,0,N,8,7
257,1,6,2,1,1,N,4,8
258,2,6,1,1,2,N,3,5
259,1,3,2,1,2,N,3,10
260,1,6,1,1,1,N,5,8
261,1,6,1,3,0,N,2,5
262,1,1,2,1,2,N,0,7
263,1,6,1,1,2,N,6,4
264,1,6,1,1,1,N,2,9
265,1,1,2,1,1,N,9,11
266,2,6,1,1,2,N,7,8
267,1,1,2,1,1,N,2,4
268,5,N,2,1,2,N,N,2
269,6,N,1,1,2,N,N,3
270,2,6,2,2,0,N,2,7
271,2,6,1,1,2,N,6,7
272,1,1,1,1,1,N,0,4
273,3,6,2,1,1,N,3,8
274,2,1,2,1,2,N,0,9
275,6,1,2,1,1,N,7,9
276,2,6,2,2,0,N,2,4
277,9,6,1,1,1,N,8,10
278,1,4,2,1,2,N,4,7
279,8,5,1,1,2,N,4,5
280,1,3,2,1,1,N,3,7
281,2,4,1,1,2,N,5,5
282,2,6,2,1,2,N,3,5
283,6,6,1,1,2,N,3,11
284,6,1,2,1,2,N,0,10
285,1,N,1,1,2,N,N,N
286,1,N,2,1,1,N,N,3
287,2,6,1,1,1,N,0,3
288,1,N,2,1,2,N,N,2
289,3,3,2,1,1,N,2,8
290,1,1,2,1,1,N,9,11
291,1,N,1,1,1,N,N,3
292,1,6,1,1,2,N,4,5
293,3,N,1,1,2,N,N,3
294,1,6,1,1,1,N,0,9
295,1,6,1,1,1,N,2,3
296,6,1,1,1,1,N,9,12
297,2,1,2,1,2,N,6,10
298,1,4,2,1,1,N,6,5
299,1,6,2,1,2,N,3,5
300,1,N,1,1,1,N,N,3
301,1,6,2,2,0,N,0,5
302,1,1,1,1,1,N,9,8
303,1,4,2,1,2,N,9,9
304,2,5,2,1,2,N,0,9
305,1,4,1,1,2,N,9,9
306,6,6,1,3,0,N,3,7
307,1,1,1,1,1,N,8,9
308,2,6,2,1,2,N,7,8
309,2,1,2,1,2,N,5,5
310,6,1,2,1,1,N,3,3
311,8,4,1,1,2,N,1,4
312,8,5,2,1,2,N,0,4
313,2,N,2,1,2,N,N,3
314,6,1,1,1,1,N,1,12
315,2,1,1,1,1,N,9,9
316,1,1,1,1,1,N,8,11
317,2,6,2,1,2,N,0,4
318,1,1,2,1,1,N,8,10
319,1,6,1,1,2,N,7,9
320,1,2,1,1,1,N,5,7
321,1,6,1,1,2,N,0,11
322,2,6,2,1,1,N,2,7
323,1,6,1,1,1,N,6,5
324,1,1,2,1,1,N,0,4
325,8,1,1,1,2,N,4,5
326,2,4,1,1,1,N,9,12
327,2,1,1,1,1,N,8,5
328,1,1,2,1,2,N,9,10
329,6,1,2,1,1,N,7,9
330,6,5,1,1,1,N,0,9
331,1,1,2,1,2,N,4,5
332,1,N,1,1,1,N,N,2
333,1,1,1,1,1,N,9,10
334,2,N,2,1,2,N,N,3
335,1,N,2,1,1,N,N,3
336,1,N,1,1,1,N,N,N
337,6,6,2,3,0,N,0,7
338,1,1,2,1,2,N,8,10
339,1,3,2,1,1,N,7,12
340,2,6,1,1,2,N,3,5
341,2,2,2,1,2,N,0,5
342,1,1,1,1,1,N,8,10
343,1,6,2,1,2,N,1,5
344,1,1,2,1,1,N,6,8
345,2,1,2,1,1,N,5,7
346,2,6,1,1,2,N,0,7
347,6,6,2,1,1,N,6,7
348,2,4,2,1,2,N,2,5
349,2,6,2,1,1,N,4,5
350,1,1,2,1,1,N,6,5
351,1,1,2,1,1,N,3,7
352,1,4,1,1,1,N,9,7
353,3,N,2,1,1,N,N,3
354,1,N,2,1,1,N,N,2
355,2,1,2,1,2,N,5,9
356,1,6,1,1,1,N,4,8
357,5,2,1,1,0,N,0,5
358,3,1,1,1,1,N,7,10
359,1,4,2,1,2,N,6,7
360,2,4,2,1,1,N,6,7
361,1,1,1,1,1,N,9,12
362,2,6,2,1,2,N,0,6
363,2,N,1,1,2,N,N,3
364,1,1,2,1,1,N,7,8
365,1,6,1,1,1,N,7,10
366,1,1,2,1,2,N,7,9
367,1,1,2,1,1,N,9,10
368,1,6,1,1,2,N,7,7
369,2,N,2,1,1,N,N,3
370,2,6,1,3,0,N,2,6
371,3,5,2,1,1,N,3,4
372,1,N,2,1,2,N,N,3
373,1,1,2,1,2,N,2,4
374,2,6,1,2,0,N,8,7
375,1,1,1,1,2,N,5,9
376,6,N,2,1,1,N,N,3
377,1,1,1,1,2,N,8,10
378,2,3,2,3,0,N,3,7
379,8,N,2,1,2,N,N,3
380,8,N,2,1,2,N,3,1
381,1,4,1,1,2,N,5,7
382,2,4,1,1,1,N,3,3
383,1,1,1,1,1,N,7,7
384,2,6,2,1,2,N,3,4
385,2,6,1,1,2,N,8,7
386,2,4,2,3,0,N,3,7
387,8,1,1,1,2,N,6,5
388,2,N,2,1,1,N,N,3
389,1,N,1,1,1,N,N,3
390,2,6,1,3,0,N,8,9
391,1,1,1,1,1,N,9,12
392,3,6,1,1,2,N,7,7
393,2,N,2,1,2,N,N,3
394,1,6,2,1,1,N,6,4
395,6,N,1,1,1,N,N,3
396,3,N,2,1,2,N,N,1
397,1,1,1,1,1,N,3,4
398,2,6,1,1,1,N,1,7
399,2,6,1,1,2,N,0,4
400,1,N,2,1,1,N,N,3
401,1,N,2,1,1,N,N,3
402,1,1,1,1,2,N,9,10
403,1,6,1,1,1,N,1,9
404,1,1,1,1,1,N,9,11
405,3,6,1,1,2,N,1,1
406,1,1,2,1,1,N,3,11
407,9,1,1,1,1,N,9,10
408,1,1,1,1,1,N,0,4
409,6,6,2,1,2,N,0,11
410,2,6,2,1,2,N,2,7
411,1,1,1,1,1,N,9,5
412,1,1,1,1,1,N,7,7
413,1,4,1,1,1,N,1,5
414,1,6,2,1,2,N,4,7
415,2,6,2,1,2,N,7,9
416,2,3,2,1,1,N,5,4
417,2,6,1,1,2,N,6,5
418,1,6,1,1,1,N,8,9
419,1,1,1,1,1,N,0,5
420,8,1,1,1,2,N,0,1
421,2,5,1,1,1,N,0,4
422,1,6,1,1,1,N,9,10
423,1,3,2,1,1,N,5,9
424,1,6,1,1,1,N,9,12
425,1,1,1,1,1,N,7,9
426,1,6,1,1,2,N,4,7
427,1,6,2,1,2,N,1,9
428,1,1,1,1,2,N,0,4
429,1,1,1,1,1,N,7,12
430,2,6,1,1,1,N,6,8
431,8,6,1,3,0,N,8,4
432,8,2,2,1,2,N,2,5
433,6,1,1,1,2,N,6,9
434,1,N,1,1,1,N,N,3
435,2,6,1,1,1,N,8,9
436,2,1,2,1,1,N,2,7
437,1,1,1,1,2,N,8,7
438,2,4,1,1,2,N,8,5
439,1,1,1,1,1,N,5,5
440,1,6,1,3,0,N,0,9
441,1,6,2,3,0,N,3,6
442,1,4,2,1,1,N,2,5
443,1,1,1,1,1,N,6,7
444,2,6,2,1,2,N,0,7
445,2,6,1,1,1,N,0,6
446,6,1,2,1,1,N,8,9
447,8,1,1,1,1,N,4,1
448,1,1,2,1,1,N,8,10
449,3,N,1,1,2,N,N,3
450,1,6,2,1,2,N,4,7
451,1,6,2,1,1,N,1,4
452,6,6,1,1,2,N,0,9
453,1,6,1,1,1,N,9,10
454,1,N,1,1,1,N,N,1
455,2,6,2,1,2,N,1,7
456,2,6,2,1,1,N,7,10
457,6,6,2,1,1,N,8,10
458,9,6,2,1,1,N,0,4
459,2,6,2,1,1,N,6,7
460,1,N,1,1,1,N,N,1
461,9,N,2,1,2,N,N,3
462,1,6,2,1,1,N,7,11
463,2,6,1,3,0,N,2,7
464,8,1,1,1,2,N,4,4
465,1,6,1,1,1,N,0,4
466,2,6,1,1,1,N,5,3
467,1,N,2,1,1,N,N,3
468,1,4,2,1,2,N,7,12
469,6,1,1,1,1,N,0,9
470,2,6,2,1,1,N,5,8
471,1,1,2,1,1,N,7,9
472,9,1,1,1,2,N,8,10
473,1,6,2,1,1,N,9,6
474,1,1,1,1,2,N,9,10
475,1,1,1,1,1,N,7,7
476,1,6,1,1,1,N,5,10
477,1,1,2,1,1,N,8,7
478,1,6,1,1,2,N,3,3
479,1,1,1,1,1,N,5,9
480,1,1,1,1,1,N,9,9
481,1,1,2,1,1,N,8,10
482,6,6,1,1,2,N,0,4
483,1,N,2,1,2,N,N,2
484,2,1,1,1,2,N,7,6
485,1,4,2,1,2,N,3,9
486,1,4,2,1,1,N,1,12
487,2,1,1,1,2,N,6,3
488,2,1,2,1,1,N,5,5
489,1,1,2,1,1,N,5,7
490,1,6,2,1,1,N,4,9
491,1,4,2,1,1,N,5,10
492,1,N,2,1,2,N,N,3
493,1,1,2,1,1,N,9,10
494,1,4,2,1,1,N,6,6
495,1,1,2,1,1,N,9,10
496,6,1,2,1,1,N,7,12
497,2,6,1,2,2,N,6,7
498,1,1,2,1,1,N,7,5
499,6,1,2,1,1,N,8,10
500,1,N,1,1,1,N,N,3
501,2,1,2,1,1,N,5,7
502,2,6,1,1,2,N,5,7
503,2,6,2,1,2,N,1,4
504,2,N,2,1,1,N,N,3
505,1,N,1,1,1,N,N,3
506,1,N,2,1,2,N,N,3
507,1,6,2,1,2,N,2,4
508,6,1,1,1,2,N,4,10
509,2,4,2,1,1,N,7,7
510,1,1,2,1,1,N,6,9
511,2,1,1,1,1,N,6,8
512,1,6,1,3,0,N,1,7
513,1,2,2,1,2,N,9,6
514,1,1,2,1,1,N,7,10
515,2,N,2,1,1,N,N,3
516,6,6,1,1,1,N,4,7
517,6,4,2,1,1,N,0,8
518,2,4,1,1,2,N,5,8
519,1,6,2,1,1,5,9,9
520,2,4,2,1,2,N,5,5
521,3,6,1,1,2,N,1,6
522,1,6,1,1,1,N,1,5
523,1,3,2,1,1,N,6,12
524,1,6,2,1,2,N,8,9
525,1,1,1,1,1,N,7,8
526,2,6,1,1,2,N,6,9
527,1,N,1,1,1,N,N,3
528,8,N,2,1,2,N,N,3
529,2,6,1,1,1,N,6,6
530,1,1,1,1,1,N,9,7
531,1,4,2,1,2,N,3,7
532,1,1,1,1,1,N,7,12
533,2,6,2,1,2,N,8,7
534,2,6,2,3,0,N,5,7
535,8,6,2,1,1,N,1,4
536,1,2,2,1,1,N,2,7
537,1,1,1,1,1,N,6,7
538,2,6,2,1,2,N,3,7
539,1,1,1,1,1,N,3,5
540,1,N,1,1,1,N,N,3
541,8,2,1,1,2,N,1,5
542,1,1,1,1,1,5,9,9
543,3,4,1,1,1,N,5,6
544,2,2,1,1,2,N,8,7
545,2,1,1,1,1,N,0,1
546,2,5,2,1,2,N,2,4
547,1,1,2,1,1,N,4,5
548,1,N,1,1,1,N,N,3
549,2,6,1,1,1,N,1,4
550,2,6,1,1,1,N,8,9
551,1,1,2,1,1,N,0,10
552,1,6,2,3,0,N,2,7
553,6,1,2,1,2,N,6,9
554,3,6,2,1,2,N,0,8
555,1,1,1,1,1,N,4,7
556,1,1,1,1,1,N,0,7
557,2,4,2,1,1,N,2,5
558,1,6,2,1,1,N,4,7
559,1,1,1,1,1,N,6,1
560,2,6,2,1,2,N,0,7
561,2,1,1,1,2,N,8,12
562,1,N,1,1,1,N,N,3
563,1,6,1,3,0,N,3,5
564,2,3,2,1,2,N,5,5
565,6,1,2,1,1,N,1,9
566,2,N,2,1,2,N,N,N
567,1,5,2,1,2,N,1,9
568,2,6,1,1,2,N,7,5
569,8,6,1,1,2,N,0,5
570,1,1,1,1,1,N,1,6
571,1,1,2,1,1,N,7,10
572,2,5,2,1,1,N,8,9
573,1,1,1,1,1,N,4,7
574,1,1,2,1,1,N,8,5
575,1,3,2,3,0,N,8,12
576,1,6,1,2,0,N,0,9
577,1,6,1,1,1,5,0,4
578,1,N,1,1,2,N,N,3
579,5,4,2,1,2,N,2,5
580,1,1,2,1,1,N,8,10
581,1,6,1,1,1,N,0,10
582,6,N,1,1,2,N,N,3
583,8,1,2,1,2,N,4,9
584,6,1,2,1,1,N,9,10
585,1,1,1,1,1,N,9,10
586,1,N,1,1,1,N,N,2
587,6,1,1,1,1,N,5,8
588,1,2,1,1,2,N,9,12
589,2,6,1,1,2,N,4,7
590,1,4,1,1,2,N,9,10
591,2,6,2,3,0,N,1,8
592,1,4,2,1,1,N,6,7
593,1,N,1,1,2,N,N,3
594,2,6,1,1,2,N,0,5
595,1,6,1,1,2,N,7,4
596,2,6,1,1,2,N,7,7
597,1,1,2,1,1,N,8,10
598,1,1,1,1,1,N,9,9
599,1,1,2,1,1,N,9,9
600,1,4,2,1,1,N,2,12
601,1,1,2,1,1,N,0,10
602,1,1,2,1,1,N,8,10
603,1,6,2,1,1,N,7,9
604,1,6,1,1,2,N,9,8
605,1,4,2,1,2,N,2,7
606,2,N,1,1,1,N,N,2
607,1,N,1,1,2,N,N,N
608,3,6,2,1,2,N,3,7
609,1,N,2,1,1,N,N,3
610,2,6,2,1,2,N,3,5
611,1,1,2,1,1,N,7,7
612,1,6,2,1,2,N,5,5
613,2,4,2,3,0,N,3,7
614,1,1,2,1,1,N,3,9
615,1,1,2,1,1,N,9,9
616,1,6,2,1,1,N,1,4
617,2,6,1,1,2,N,3,5
618,1,6,1,1,2,N,4,7
619,1,4,2,1,1,N,0,9
620,1,4,2,1,1,N,4,6
621,2,1,1,1,1,N,9,10
622,2,6,2,1,1,N,0,1
623,1,4,2,1,1,N,7,12
624,2,6,1,1,1,N,2,4
625,1,1,1,1,1,N,9,9
626,2,1,2,1,2,N,6,7
627,1,6,1,1,1,N,8,10
628,1,1,2,1,1,N,8,9
629,1,1,1,1,1,N,6,5
630,1,1,1,1,1,N,4,10
631,3,6,1,1,2,N,7,10
632,1,4,2,1,1,N,4,9
633,1,1,1,1,1,N,4,5
634,1,6,2,1,1,N,5,9
635,1,N,2,1,1,N,N,1
636,6,6,1,1,2,N,2,9
637,8,6,2,1,1,N,8,8
638,3,4,2,1,1,N,5,10
639,1,N,1,1,1,N,N,2
640,2,6,2,1,2,N,7,10
641,1,N,1,1,2,N,N,1
642,2,N,1,1,1,N,N,N
643,2,1,1,1,1,N,0,7
644,1,6,2,1,1,N,8,9
645,1,1,1,1,1,N,8,9
646,1,1,1,1,1,N,4,7
647,1,1,1,1,1,N,9,10
648,1,1,2,1,1,N,2,7
649,2,1,2,1,2,N,0,7
650,1,4,1,1,2,N,4,5
651,8,6,2,1,2,N,0,4
652,3,6,2,1,1,N,7,10
653,1,1,2,1,1,N,0,5
654,2,3,2,1,2,N,9,5
655,8,1,2,1,1,N,6,9
656,6,6,2,1,2,N,0,9
657,1,N,2,1,1,N,N,N
658,1,N,2,1,2,N,N,N
659,1,1,1,1,2,N,8,10
660,1,1,1,1,1,N,0,10
661,1,1,1,1,1,N,0,5
662,2,1,2,1,2,N,6,5
663,1,6,1,1,2,N,1,9
664,1,1,2,1,1,N,9,10
665,1,N,2,1,1,N,N,N
666,3,N,1,1,1,N,N,2
667,1,6,2,1,2,N,7,5
668,6,6,1,1,2,N,0,9
669,9,1,1,1,2,N,0,3
670,1,6,2,1,2,N,5,7
671,1,4,2,1,1,N,6,6
672,6,2,1,1,1,N,9,12
673,2,6,1,3,0,N,3,5
674,1,3,2,1,1,N,3,5
675,2,1,1,1,1,N,5,5
676,1,1,1,1,1,N,9,9
677,1,N,1,1,2,N,N,2
678,1,1,1,1,1,N,6,7
679,1,6,2,1,2,N,2,10
680,9,1,1,1,1,N,7,9
681,1,3,2,1,1,N,7,5
682,2,1,2,1,1,N,6,5
683,3,4,2,1,1,N,2,6
684,6,6,2,1,1,N,1,7
685,1,1,2,1,1,N,1,7
686,2,5,2,1,1,N,2,4
687,1,6,2,1,1,N,3,11
688,6,6,2,1,1,N,7,9
689,2,N,1,1,2,N,N,3
690,1,N,1,1,1,N,N,N
691,2,1,2,1,2,N,4,7
692,1,N,1,1,1,N,N,3
693,3,4,2,1,2,N,6,8
694,3,6,1,1,2,N,7,10
695,1,1,2,1,1,N,8,5
696,2,N,1,1,2,N,N,N
697,1,4,2,1,0,N,1,7
698,1,6,1,1,1,N,3,7
699,1,1,1,1,1,N,6,4
700,1,N,1,1,2,N,N,N
701,1,6,1,1,1,N,7,10
702,1,1,1,1,2,N,9,9
703,1,6,2,1,1,N,9,8
704,2,6,1,1,2,N,4,5
705,3,6,1,1,1,N,0,3
706,1,N,1,1,2,N,3,7
707,2,N,2,1,1,N,N,1
708,1,N,1,1,1,N,N,2
709,6,1,1,1,2,N,8,9
710,1,1,2,1,1,N,5,9
711,1,1,1,1,2,N,5,7
712,1,1,2,1,1,N,4,7
713,2,6,1,1,2,N,2,4
714,9,6,2,1,1,N,7,10
715,2,N,1,1,1,N,N,3
716,1,1,2,1,1,N,5,7
717,2,6,2,1,2,N,5,10
718,8,N,2,1,2,N,3,8
719,1,1,1,1,2,N,3,6
720,2,6,2,1,2,N,0,4
721,2,5,2,1,2,N,6,10
722,1,1,2,1,1,N,0,5
723,1,6,2,1,2,N,3,7
724,3,6,1,1,2,N,5,7
725,1,1,1,1,1,N,9,9
726,1,1,2,1,1,N,6,9
727,2,1,1,1,1,N,5,5
728,1,N,1,1,1,N,N,N
729,9,1,1,1,1,N,9,11
730,1,1,1,1,2,N,1,4
731,2,1,2,1,2,N,2,5
732,6,1,1,1,1,N,5,5
733,1,6,1,3,0,N,1,9
734,6,2,1,1,0,N,0,3
735,1,N,1,1,1,N,N,3
736,2,1,1,1,2,N,9,9
737,1,1,1,1,1,N,2,5
738,1,1,1,1,1,N,5,5
739,1,6,1,1,2,N,6,6
740,2,6,1,1,2,N,6,9
741,1,6,1,1,2,N,5,5
742,1,N,2,1,2,N,N,1
743,2,N,1,1,1,N,N,1
744,6,1,1,1,2,N,4,10
745,1,N,1,1,1,N,N,N
746,1,N,2,1,1,N,N,3
747,5,4,2,1,1,N,2,6
748,2,6,1,1,2,N,2,5
749,1,1,1,1,1,N,1,7
750,1,1,2,1,2,N,8,9
751,6,6,2,1,2,N,1,9
752,1,1,2,1,1,N,5,10
753,7,2,2,1,1,N,4,8
754,3,6,1,1,1,N,0,4
755,9,6,2,1,2,N,1,4
756,1,1,1,1,2,N,3,7
757,2,1,1,1,1,N,3,5
758,1,1,2,1,1,N,9,9
759,1,N,2,1,1,N,N,3
760,2,4,2,1,1,N,2,7
761,2,6,2,1,2,N,5,4
762,1,4,1,1,1,N,9,11
763,1,N,2,1,1,N,N,3
764,1,1,2,1,1,N,7,10
765,1,6,1,1,1,N,9,11
766,2,4,2,1,1,N,0,5
767,1,1,2,1,1,N,9,10
768,2,N,2,1,2,N,N,3
769,2,6,2,3,0,N,1,7
770,1,4,2,1,2,N,8,5
771,1,1,2,1,1,N,5,8
