,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
158,11,0,N,1,2,N,25-02800,1,1,0,0.0
159,11,0,9,1,1,9,25-01000,1,1,6,0.0
160,5,0,10,6,1,0,25-00503,1,2,7,0.0
161,10,0,11,6,2,3,25-02800,1,2,7,0.0
162,5,0,N,4,1,0,25-00503,1,2,4,0.0
163,10,0,9,1,2,7,25-02800,1,1,6,0.0
164,5,0,3,3,1,6,25-02800,1,1,1,0.0
165,7,0,N,1,2,2,25-02800,1,1,2,100.0
166,10,0,14,6,1,4,25-01000,1,2,5,0.0
167,3,4,N,N,1,N,25-00503,1,1,N,100.0
168,7,0,9,6,2,1,25-00503,1,2,7,0.0
169,5,0,15,1,1,3,25-01000,1,1,1,0.0
170,7,0,6,4,1,2,25-01300,1,2,1,0.0
171,7,0,8,1,1,8,25-01300,1,1,8,100.0
172,5,0,6,6,1,8,25-01300,1,1,5,0.0
173,10,0,10,6,2,7,25-02800,1,2,9,0.0
174,10,0,11,4,1,7,25-00503,1,2,8,0.0
175,7,0,14,4,1,2,25-00703,1,1,6,0.0
176,6,0,3,4,1,4,25-01300,1,1,6,0.0
177,8,0,6,6,1,3,25-01000,1,2,1,0.0
178,7,0,N,2,1,7,25-01300,1,2,2,0.0
179,7,0,12,6,1,2,25-01000,1,1,7,0.0
180,9,0,10,4,1,9,25-01000,1,1,3,0.0
181,3,0,N,N,1,N,25-01300,9,1,N,100.0
182,5,0,12,6,1,4,25-01300,1,1,3,0.0
183,5,0,16,6,1,7,25-02800,1,1,6,0.0
184,7,0,4,1,1,9,25-01000,6,1,9,100.0
185,8,0,4,6,2,5,25-01000,1,1,5,100.0
186,4,0,3,1,2,N,25-00703,1,1,7,0.0
187,5,0,4,1,1,9,25-01300,2,1,6,0.0
188,8,0,11,6,2,7,25-00503,1,2,6,0.0
189,9,0,11,4,2,2,25-00703,1,1,8,0.0
190,5,0,N,1,2,4,25-02800,1,1,3,0.0
191,7,0,12,6,2,1,25-00703,1,2,2,0.0
192,5,0,6,1,2,4,25-01300,1,2,5,0.0
193,8,0,10,1,1,7,25-01000,1,2,4,0.0
194,9,0,14,4,1,6,25-00703,1,2,4,0.0
195,5,0,5,1,1,8,25-01000,1,1,7,0.0
196,9,0,16,1,2,6,25-01300,1,1,9,0.0
197,9,0,14,4,1,4,25-00503,1,2,5,0.0
198,7,0,15,6,1,6,25-00703,1,1,2,0.0
199,7,0,8,6,1,1,25-01300,1,2,5,0.0
200,9,0,4,1,2,6,25-00503,1,1,8,0.0
201,6,0,N,4,1,0,25-00703,1,2,4,0.0
202,5,0,12,4,1,7,25-00503,1,2,4,0.0
203,9,0,11,1,1,6,25-00503,6,2,0,0.0
204,7,0,16,6,2,4,25-00503,1,2,6,0.0
205,5,0,N,4,2,2,25-01000,1,1,1,0.0
206,2,0,N,N,1,N,25-00503,6,1,N,100.0
207,8,0,12,1,1,5,25-00703,1,1,1,0.0
208,10,0,12,1,2,8,25-00703,1,2,3,0.0
209,8,0,N,6,0,0,25-00703,1,2,2,0.0
210,7,0,12,4,1,2,25-00503,1,2,4,0.0
211,5,0,4,1,2,8,25-01000,1,1,6,0.0
212,9,0,10,1,2,7,25-02800,1,2,5,0.0
213,10,0,8,1,1,9,25-02800,1,1,9,100.0
214,7,0,10,4,1,2,25-00503,1,2,5,0.0
215,9,0,11,3,1,4,25-00703,1,2,4,100.0
216,5,0,3,1,1,7,25-01000,1,2,5,0.0
217,5,0,N,4,2,2,25-02800,1,2,2,100.0
218,8,0,6,4,2,5,25-02800,1,2,5,100.0
219,8,0,12,6,2,5,25-00703,1,2,6,0.0
220,5,0,4,1,1,4,25-02800,1,2,7,0.0
221,8,0,8,1,1,9,25-01000,1,1,7,0.0
222,4,0,6,6,1,6,25-00503,1,1,3,0.0
223,5,0,15,1,1,3,25-00703,1,1,5,0.0
224,9,0,3,6,1,2,25-01300,1,1,5,0.0
225,8,0,13,4,2,5,25-00703,1,2,4,0.0
226,10,0,14,1,1,5,25-01300,1,2,9,0.0
227,10,0,7,1,1,7,25-01300,1,2,9,0.0
228,8,0,6,1,1,8,25-01300,1,1,9,0.0
229,10,0,9,6,1,9,25-00703,1,1,9,100.0
230,8,0,11,1,1,7,25-00503,1,2,4,0.0
231,4,0,10,4,1,6,25-00703,1,1,2,0.0
232,5,0,14,4,2,5,25-02800,1,1,6,0.0
233,7,0,6,6,2,2,25-00503,1,1,3,0.0
234,5,0,14,4,1,4,25-02800,1,2,3,0.0
235,4,0,3,1,1,0,25-01300,1,1,7,0.0
236,9,0,9,4,1,9,25-00503,1,2,9,100.0
237,5,0,16,1,2,7,25-00503,1,2,3,0.0
238,N,0,N,N,2,N,25-01300,1,1,N,100.0
239,5,0,15,6,1,4,25-01300,1,1,7,0.0
240,5,0,11,1,2,6,25-00703,9,2,5,0.0
241,5,0,13,6,0,1,25-00503,1,2,2,0.0
242,10,0,12,6,1,9,25-02800,1,2,8,0.0
243,7,0,0,6,1,2,25-00703,1,2,5,0.0
244,9,0,3,6,1,7,25-01000,1,1,1,0.0
245,11,0,6,1,1,9,25-00703,1,1,8,0.0
246,8,0,10,1,2,2,25-00503,1,1,8,0.0
247,7,0,6,6,2,2,25-00503,1,2,9,0.0
248,8,0,10,1,1,8,25-02800,6,2,5,0.0
249,5,0,10,6,2,1,25-01000,1,2,6,0.0
250,10,0,N,1,1,6,25-02800,6,1,0,0.0
251,10,0,4,6,1,7,25-01300,1,1,7,100.0
252,7,0,9,6,1,9,25-00503,1,1,6,0.0
253,10,0,12,1,1,9,25-01000,1,1,7,0.0
254,9,0,11,1,2,8,25-00503,1,2,4,0.0
255,9,0,6,4,1,5,25-00503,1,1,6,0.0
256,8,0,8,1,1,6,25-01300,1,1,8,0.0
257,N,0,N,N,2,N,25-00503,6,1,N,100.0
258,4,4,N,6,1,0,25-00503,1,1,0,100.0
259,7,0,10,6,0,1,25-00503,1,1,2,0.0
260,8,0,6,4,1,2,25-01000,1,2,6,0.0
261,N,0,N,N,1,N,25-00503,9,1,N,100.0
262,7,0,14,1,1,5,25-01300,1,2,2,0.0
263,8,0,14,1,1,5,25-02800,1,1,7,0.0
264,10,0,9,6,1,9,25-02800,1,2,8,0.0
265,11,0,10,1,2,N,25-00703,1,1,9,0.0
266,10,0,9,6,1,6,25-00503,1,2,6,100.0
267,7,0,12,4,1,7,25-01300,1,2,5,0.0
268,4,0,N,3,0,0,25-00503,1,2,1,0.0
269,9,0,12,3,1,4,25-01000,1,2,2,0.0
270,4,0,N,6,0,0,25-01300,1,1,0,100.0
271,5,0,6,6,1,1,25-01000,1,2,1,100.0
272,7,0,13,6,2,2,25-00703,1,2,6,0.0
273,10,0,14,1,2,7,25-00703,1,2,2,0.0
274,4,0,N,N,2,N,25-00503,1,1,N,100.0
275,9,0,11,1,1,8,25-02800,2,2,8,100.0
276,10,0,4,4,1,9,25-01300,1,1,9,100.0
277,9,0,14,6,2,5,25-02800,1,2,5,100.0
278,9,0,4,1,1,8,25-00503,6,2,1,0.0
279,3,0,N,N,1,N,25-02800,9,1,N,100.0
280,10,0,16,1,1,3,25-01300,1,2,8,0.0
281,9,0,4,6,1,4,25-02800,1,1,1,0.0
282,9,0,13,4,1,5,25-02800,1,2,7,0.0
283,9,0,9,1,1,8,25-02800,6,1,8,100.0
284,7,0,11,6,0,7,25-00703,1,1,1,0.0
285,6,0,N,1,1,0,25-00703,1,2,2,0.0
286,8,0,12,4,1,4,25-01000,1,2,4,100.0
287,7,0,14,6,1,1,25-00503,1,2,1,100.0
288,9,0,N,6,0,0,25-01000,1,2,0,100.0
289,7,0,3,4,1,2,25-02800,1,1,9,0.0
290,7,0,12,6,2,6,25-00703,1,1,4,0.0
291,7,0,4,6,1,6,25-00703,1,2,4,0.0
292,7,0,10,6,1,6,25-00503,6,1,5,0.0
293,3,0,N,1,1,4,25-00703,6,1,1,0.0
294,10,0,4,1,1,8,25-02800,1,2,8,100.0
295,9,0,7,3,1,6,25-01000,1,2,3,0.0
296,9,0,16,6,1,8,25-01300,1,2,9,0.0
297,4,0,3,4,1,0,25-01300,1,1,9,0.0
298,9,0,4,4,1,8,25-00703,1,1,9,0.0
299,7,0,N,1,1,8,25-01000,6,1,0,0.0
300,5,0,15,2,1,3,25-00703,1,2,4,0.0
301,9,0,6,1,2,3,25-00503,6,2,4,0.0
302,5,0,N,4,1,2,25-01300,1,2,2,100.0
303,8,0,13,1,1,5,25-02800,1,2,4,0.0
304,10,0,12,1,1,9,25-00703,1,1,9,100.0
305,11,0,9,1,1,1,25-00703,1,2,9,0.0
306,5,0,16,3,1,4,25-00503,1,2,6,0.0
307,9,0,11,6,1,9,25-02800,1,1,4,0.0
308,10,0,9,4,1,9,25-01000,1,2,8,0.0
309,10,0,10,6,2,9,25-02800,1,1,0,0.0
310,11,0,9,1,1,9,25-01000,1,2,9,100.0
311,7,0,14,6,1,2,25-01300,1,1,4,0.0
312,5,0,3,4,1,5,25-00703,1,1,5,100.0
