,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
73,N,5,1,3,2,4,3,1,N,1,1,66.66666666666666
74,N,12,1,2,2,7,6,2,N,1,0,66.66666666666666
75,N,3,1,3,2,2,5,2,N,1,0,66.66666666666666
76,N,1,1,4,2,2,1,1,N,1,2,100.0
77,N,3,1,N,2,N,5,2,N,1,N,100.0
78,N,10,3,6,0,0,6,1,N,3,8,66.66666666666666
79,N,9,3,6,0,6,9,1,N,3,1,66.66666666666666
80,N,7,1,3,1,5,5,2,N,1,4,66.66666666666666
81,N,4,2,5,0,0,1,1,N,3,1,33.33333333333333
82,N,9,1,6,1,7,5,2,N,1,8,66.66666666666666
83,N,7,1,6,2,5,5,1,N,1,5,100.0
84,N,3,2,2,0,2,2,1,N,2,0,66.66666666666666
85,N,3,2,N,0,N,6,1,N,2,N,100.0
86,N,6,1,2,2,6,8,1,N,1,2,66.66666666666666
87,N,8,1,3,2,8,3,2,N,1,7,66.66666666666666
88,N,7,3,2,0,1,9,2,N,3,1,100.0
89,N,4,1,N,2,N,9,2,N,1,N,100.0
90,N,11,1,6,2,5,9,1,N,1,6,66.66666666666666
91,N,3,2,5,0,0,1,2,N,3,1,33.33333333333333
92,N,11,1,2,1,3,2,2,N,1,6,66.66666666666666
93,N,11,1,2,1,6,6,1,N,1,8,66.66666666666666
94,N,10,1,3,2,7,9,2,N,1,4,66.66666666666666
95,N,4,2,2,0,0,8,2,N,3,3,33.33333333333333
96,N,10,1,2,1,1,3,1,N,1,8,66.66666666666666
97,N,12,1,4,2,8,8,1,N,1,3,66.66666666666666
98,N,11,1,6,1,9,9,1,N,1,7,66.66666666666666
99,N,3,3,6,0,0,3,1,N,2,0,66.66666666666666
