,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_DECILE_y,percent_match
81,53,2,7,2,2,2,N,7,0,1,7,4,0,N,2,7,25-02800,1,1,50,2,7,2,2,2,N,1,0,4,3,72.72727272727273
82,47,2,7,2,2,2,N,10,0,1,10,6,0,4,2,3,25-02800,1,1,39,2,7,2,2,2,N,1,0,N,0,72.72727272727273
83,79,1,6,2,1,1,N,7,0,2,N,2,N,N,0,3,25-00703,1,1,79,2,6,2,1,2,N,2,N,N,3,81.81818181818183
84,33,2,7,2,2,1,N,8,0,1,3,6,0,N,1,3,25-00503,1,1,35,2,7,2,2,2,N,1,0,N,5,72.72727272727273
85,22,2,7,2,2,2,N,5,0,1,13,4,0,3,1,4,25-02800,1,2,71,2,7,2,2,2,N,1,2,5,6,63.63636363636363
86,30,2,6,2,2,2,N,11,0,1,10,6,1,3,1,8,25-00703,1,1,43,2,6,2,2,2,N,1,1,2,9,72.72727272727273
87,67,2,7,2,2,1,N,5,0,3,13,6,N,N,0,2,25-00503,1,2,19,2,7,2,2,2,N,3,N,N,2,81.81818181818183
88,31,2,7,2,2,2,N,5,0,1,7,1,0,4,1,6,25-02800,1,2,51,2,7,2,2,2,N,1,0,2,7,72.72727272727273
89,23,2,7,2,2,2,N,9,0,1,16,6,0,2,1,7,25-02800,1,1,73,2,7,2,2,2,N,1,0,N,7,81.81818181818183
90,87,2,7,2,2,2,N,5,0,1,N,6,0,N,2,3,25-00503,1,1,33,2,7,2,2,1,N,1,0,N,2,72.72727272727273
91,69,2,7,2,1,2,N,7,0,1,N,4,0,N,2,6,25-02800,1,1,57,2,7,2,2,2,N,1,0,N,2,72.72727272727273
92,17,2,6,2,2,1,N,4,0,1,N,3,2,2,1,0,25-01000,1,1,87,2,6,2,2,2,N,1,0,2,3,63.63636363636363
93,17,2,5,2,2,2,N,7,0,1,8,6,0,N,1,1,25-01300,1,2,26,2,5,2,2,2,N,1,0,2,5,72.72727272727273
94,79,2,5,2,2,2,N,7,0,1,6,4,0,N,1,7,25-01300,1,2,50,2,5,2,2,2,N,1,0,N,1,81.81818181818183
95,27,2,6,2,2,2,N,9,0,1,14,4,0,3,1,8,25-00703,1,2,78,2,6,2,2,2,N,1,0,N,4,72.72727272727273
96,69,2,5,2,2,2,N,7,0,1,N,6,0,N,1,0,25-01300,1,1,33,2,5,2,2,1,N,1,0,3,0,72.72727272727273
97,37,2,7,2,2,2,N,5,0,1,12,6,0,N,2,3,25-02800,1,2,47,2,7,2,1,1,N,1,1,2,3,54.54545454545454
98,56,2,7,2,2,2,N,9,0,1,5,1,0,2,2,7,25-02800,1,1,37,2,7,2,2,2,N,1,0,2,8,81.81818181818183
99,46,2,5,2,2,2,N,11,0,1,13,1,1,3,1,7,25-01300,1,2,30,2,5,2,2,2,N,1,0,2,4,63.63636363636363
100,33,2,6,2,2,2,N,7,0,1,N,1,0,3,1,6,25-01000,6,1,53,2,6,2,2,2,N,1,0,4,0,72.72727272727273
101,21,2,6,2,2,2,N,7,0,1,N,6,0,6,2,3,25-00703,1,2,64,2,6,2,2,2,N,1,0,N,2,72.72727272727273
102,51,2,6,2,2,2,N,9,0,1,4,4,0,N,2,2,25-00703,1,1,42,2,6,2,2,2,N,1,1,2,0,63.63636363636363
103,48,2,6,2,2,1,N,9,0,1,7,4,0,N,2,3,25-00703,1,1,66,2,6,2,2,2,N,1,0,N,5,72.72727272727273
104,35,2,7,2,2,2,N,8,0,1,14,1,2,4,1,9,25-02800,1,1,37,2,7,2,2,2,N,1,1,3,7,63.63636363636363
105,16,2,7,2,2,2,N,7,0,3,4,6,0,5,0,0,25-00503,1,1,20,2,7,2,2,2,N,3,N,N,1,63.63636363636363
106,75,2,7,2,2,1,N,5,0,1,16,6,0,3,1,2,25-02800,1,1,69,2,7,2,2,2,N,1,0,2,6,63.63636363636363
107,71,2,7,2,2,2,N,9,0,1,5,1,0,2,2,8,25-00503,1,2,34,2,7,2,2,2,N,1,1,3,8,72.72727272727273
108,63,2,7,2,1,2,N,9,0,3,N,6,N,N,0,3,25-00503,2,2,67,2,7,2,1,2,N,2,N,N,1,72.72727272727273
109,24,2,7,2,2,2,N,9,0,1,10,4,0,6,1,8,25-02800,1,1,35,2,7,2,2,2,N,1,0,4,8,81.81818181818183
110,30,2,6,2,2,2,N,5,0,1,13,3,1,5,2,8,25-01000,1,2,69,2,6,2,2,2,N,1,0,N,4,63.63636363636363
111,60,2,5,2,2,2,N,7,0,1,15,6,0,2,1,6,25-01300,1,1,19,2,5,2,2,2,N,1,1,5,1,63.63636363636363
112,44,2,6,2,2,2,N,8,0,1,6,3,0,N,2,4,25-00703,1,2,57,2,6,2,2,2,N,1,0,N,3,81.81818181818183
113,50,2,7,2,2,1,N,10,0,1,4,6,0,2,1,9,25-02800,1,1,25,2,7,2,2,2,N,1,0,2,7,72.72727272727273
114,44,2,5,2,2,2,N,9,0,1,8,6,1,N,1,8,25-01300,1,1,46,2,5,2,2,2,N,1,0,N,9,72.72727272727273
115,34,2,6,2,2,2,N,7,0,1,7,4,1,3,1,1,25-00703,1,2,64,2,6,2,2,2,N,1,0,5,8,63.63636363636363
116,13,2,7,2,2,2,N,5,0,1,3,4,0,N,1,6,25-02800,1,1,65,2,7,2,2,2,N,1,0,N,7,81.81818181818183
117,60,2,7,2,2,2,N,9,0,1,10,4,0,3,1,0,25-00503,1,2,66,2,7,2,2,2,N,1,0,3,4,81.81818181818183
118,49,2,6,2,2,2,N,8,0,1,7,1,0,2,1,7,25-01000,1,1,61,2,6,2,2,2,N,1,0,3,8,72.72727272727273
119,54,2,7,2,2,2,N,9,0,1,15,6,1,N,2,4,25-00503,1,1,37,2,7,2,2,2,N,1,0,N,7,72.72727272727273
120,58,2,7,2,2,2,N,8,0,1,10,1,0,2,2,5,25-00503,1,1,61,2,7,2,2,2,N,1,0,2,8,81.81818181818183
121,20,2,5,2,2,2,N,5,0,1,8,1,1,3,1,7,25-01300,1,1,55,2,5,2,2,2,N,1,0,2,7,72.72727272727273
122,-1,2,5,2,2,2,N,8,0,1,14,6,2,4,1,0,25-01300,1,1,27,2,5,2,2,2,N,1,0,3,4,63.63636363636363
123,28,2,7,2,2,2,N,9,0,1,14,1,0,3,1,8,25-02800,6,2,31,2,7,2,2,2,N,1,0,2,4,72.72727272727273
124,58,2,6,2,2,2,N,10,0,1,10,1,2,2,2,8,25-00703,1,1,27,2,6,2,2,2,N,1,0,2,6,72.72727272727273
125,25,2,6,2,2,2,N,10,0,1,4,1,2,4,1,9,25-01000,1,2,41,2,6,2,2,2,N,1,0,2,8,63.63636363636363
126,56,2,6,2,2,2,N,5,0,1,12,4,0,2,2,6,25-00703,1,1,56,2,6,2,2,2,N,1,0,5,6,90.9090909090909
127,77,2,6,2,2,2,N,12,0,1,N,1,0,4,1,5,25-01000,1,1,79,2,6,2,2,2,N,1,0,2,6,72.72727272727273
128,33,2,6,2,2,2,N,9,0,1,6,1,2,4,1,1,25-01000,6,2,53,2,6,2,2,2,N,1,0,4,6,72.72727272727273
129,80,2,6,2,2,2,N,4,0,1,N,6,3,4,1,6,25-00703,6,2,16,2,6,2,2,2,N,1,2,7,0,63.63636363636363
130,57,2,6,2,2,2,N,8,0,1,4,1,1,3,2,8,25-00703,1,1,58,2,6,2,2,2,N,1,0,2,4,63.63636363636363
131,40,2,7,2,2,2,N,4,0,1,N,1,2,4,2,7,25-02800,1,1,77,2,7,2,2,2,N,1,0,2,1,63.63636363636363
132,-2,2,7,2,2,2,N,3,0,1,N,N,2,4,1,N,25-02800,6,1,6,2,7,2,2,2,N,1,4,6,N,72.72727272727273
133,18,2,6,2,2,2,N,12,0,1,12,6,1,4,1,1,25-00703,1,1,51,2,6,2,2,2,N,1,2,3,9,63.63636363636363
134,23,2,7,2,2,1,N,5,0,1,9,4,0,5,1,4,25-02800,1,2,63,2,7,2,2,2,N,1,0,N,7,63.63636363636363
135,35,2,7,2,2,2,N,11,0,1,16,1,0,3,1,2,25-02800,1,1,45,2,7,2,2,2,N,1,2,4,8,63.63636363636363
136,42,2,5,2,2,2,N,7,0,1,9,6,0,6,1,3,25-01300,1,1,23,2,5,2,2,2,N,1,0,2,1,72.72727272727273
137,38,2,7,2,2,1,N,4,0,1,14,6,1,3,2,2,25-02800,1,2,29,2,7,2,2,1,N,1,3,4,1,63.63636363636363
138,64,2,7,2,2,2,N,8,0,1,8,6,0,4,1,6,25-02800,1,1,30,2,7,2,2,2,N,1,0,4,1,81.81818181818183
139,29,2,6,2,2,2,N,8,0,1,9,1,1,3,1,9,25-01000,1,1,60,2,6,2,2,2,N,1,0,3,9,81.81818181818183
140,38,2,6,2,2,2,N,9,0,1,11,4,1,3,1,6,25-00703,1,1,49,2,6,2,2,2,N,1,1,3,9,81.81818181818183
141,61,2,7,2,2,1,N,9,0,1,8,3,3,5,1,0,25-02800,1,1,42,2,7,2,2,2,N,1,0,5,8,63.63636363636363
142,58,2,7,2,2,1,N,9,0,1,12,1,0,3,2,7,25-02800,1,1,36,2,7,2,2,2,N,1,0,2,7,72.72727272727273
143,32,2,5,2,2,1,N,12,0,1,10,1,2,4,1,8,25-01300,1,1,65,2,5,2,2,2,N,1,0,2,7,54.54545454545454
144,39,2,7,2,2,2,N,9,0,1,9,6,N,N,2,8,25-00503,1,2,28,2,7,2,2,2,N,1,0,2,6,63.63636363636363
145,10,2,6,2,2,2,N,4,0,1,14,1,2,4,1,7,25-01000,1,1,73,2,6,2,2,2,N,1,0,2,6,63.63636363636363
146,59,2,6,2,2,2,N,10,0,1,N,2,0,4,1,0,25-00703,1,2,35,2,6,2,2,2,N,1,0,5,1,72.72727272727273
147,33,2,6,2,2,2,N,5,0,1,13,4,0,N,2,4,25-00703,1,2,75,1,6,2,1,2,N,1,0,N,4,72.72727272727273
148,70,2,7,2,1,2,N,7,0,1,N,3,0,N,2,1,25-02800,1,2,77,2,7,2,2,2,N,1,0,N,3,72.72727272727273
149,64,2,5,2,2,2,N,8,0,1,16,1,0,3,1,7,25-01300,1,2,57,2,5,2,2,2,N,1,1,3,6,72.72727272727273
150,22,2,6,2,2,2,N,5,0,1,4,1,0,N,1,5,25-00703,1,2,43,2,6,2,2,1,N,1,1,4,4,54.54545454545454
151,14,2,5,2,2,2,N,5,0,3,13,6,N,N,1,0,25-01300,1,2,18,2,5,2,2,2,N,1,1,4,1,54.54545454545454
152,30,2,7,2,2,2,N,10,0,1,5,1,0,3,1,5,25-02800,1,1,39,2,7,2,2,2,N,1,0,2,9,72.72727272727273
153,13,2,7,2,2,2,N,5,0,1,N,6,2,4,1,0,25-00503,1,1,60,2,7,2,2,2,N,1,0,2,2,63.63636363636363
154,48,2,7,2,2,2,N,12,0,1,11,1,2,4,1,7,25-02800,1,2,69,2,7,2,2,2,N,1,0,6,5,63.63636363636363
155,51,2,7,2,2,2,N,9,0,1,3,1,0,2,2,8,25-02800,1,2,26,2,7,2,2,2,N,1,1,3,3,63.63636363636363
156,67,2,7,2,1,2,N,5,0,1,7,4,0,N,1,3,25-02800,1,2,62,2,7,2,1,2,N,1,0,2,3,81.81818181818183
157,49,2,7,2,2,2,N,5,0,1,12,4,0,3,1,4,25-00503,1,2,48,2,7,2,2,2,N,1,0,3,4,90.9090909090909
158,5,2,5,2,N,N,N,1,0,1,N,N,2,6,1,N,25-01300,2,2,5,2,5,2,2,2,N,1,4,7,N,63.63636363636363
159,70,2,6,2,2,2,N,4,0,1,3,6,0,6,1,2,25-00703,1,1,68,2,6,2,2,2,N,1,0,N,4,72.72727272727273
160,58,2,6,2,2,2,N,4,0,1,N,4,0,6,2,4,25-00703,1,1,72,2,6,2,2,2,N,1,0,3,3,72.72727272727273
161,48,2,7,2,2,2,N,5,0,1,16,1,0,3,1,8,25-00503,1,1,54,2,7,2,2,2,N,1,2,5,7,63.63636363636363
162,74,2,6,2,2,2,N,8,0,1,12,4,0,N,1,3,25-01000,1,2,62,2,6,2,2,2,N,1,0,N,4,81.81818181818183
163,7,2,6,2,2,2,N,4,0,1,N,6,0,6,2,1,25-00703,2,1,16,2,6,2,2,2,N,1,2,4,0,63.63636363636363
164,41,2,6,2,2,2,N,9,0,1,11,1,0,3,2,9,25-00703,1,1,31,2,6,2,2,2,N,1,0,2,6,72.72727272727273
165,28,2,6,2,2,2,N,5,0,1,9,1,1,3,1,8,25-01000,1,1,64,2,6,2,2,2,N,1,0,4,6,63.63636363636363
166,21,2,6,2,2,2,N,5,0,1,12,3,0,N,2,3,25-00703,1,2,67,2,6,2,2,2,N,1,0,4,3,81.81818181818183
167,46,2,6,2,2,2,N,7,0,1,6,6,0,N,2,7,25-00703,1,2,28,2,6,2,2,2,N,1,2,3,2,63.63636363636363
168,59,2,7,2,2,2,N,8,0,1,9,3,0,N,1,8,25-00503,1,2,69,2,7,2,2,2,N,1,0,N,7,81.81818181818183
169,53,2,6,2,1,1,N,7,0,1,N,3,2,4,2,7,25-01000,1,1,78,2,6,2,1,1,N,1,0,N,6,63.63636363636363
170,65,2,6,2,2,2,N,7,0,3,N,3,0,N,2,0,25-01000,1,2,69,2,6,2,2,2,N,1,0,N,4,72.72727272727273
171,30,2,7,2,2,2,N,7,0,1,7,1,1,3,1,2,25-02800,1,2,55,2,7,2,2,2,N,1,0,4,2,72.72727272727273
172,52,2,6,2,2,2,N,8,0,1,12,1,1,3,2,8,25-00703,1,2,29,2,6,2,2,2,N,1,0,2,7,63.63636363636363
173,34,1,6,2,2,2,N,5,0,1,7,1,0,N,1,1,25-00703,1,2,32,2,6,2,2,2,N,1,1,3,2,54.54545454545454
174,60,2,6,2,2,2,N,10,0,1,10,1,1,2,1,7,25-00703,6,2,47,2,6,2,2,2,N,1,2,4,9,63.63636363636363
175,52,2,6,2,2,2,N,5,0,1,15,6,0,N,2,3,25-00703,1,1,52,2,6,2,2,2,N,1,1,3,6,72.72727272727273
176,29,2,5,2,2,2,N,11,0,1,15,1,0,3,1,8,25-01300,1,1,55,2,5,2,2,2,N,1,0,3,9,81.81818181818183
177,35,2,5,2,2,2,N,10,0,1,11,1,1,3,2,9,25-01300,1,2,48,2,5,2,2,2,N,1,0,3,9,81.81818181818183
178,39,2,6,2,2,2,N,7,0,1,13,6,1,3,1,8,25-01000,1,2,54,2,6,2,1,2,N,1,0,N,6,54.54545454545454
179,84,2,5,2,2,2,N,7,0,1,16,3,0,N,2,0,25-01300,1,1,67,2,5,2,2,2,N,1,0,N,6,81.81818181818183
180,75,2,7,2,2,2,N,5,0,1,12,1,0,5,1,8,25-00503,1,2,75,2,7,2,2,2,N,1,0,2,4,81.81818181818183
181,59,2,6,2,2,2,N,7,0,1,13,6,2,4,2,7,25-00703,1,2,28,2,6,2,2,2,N,1,2,3,6,72.72727272727273
182,45,2,6,2,2,2,N,5,0,1,3,1,0,4,1,7,25-00703,1,2,58,2,6,2,2,2,N,1,0,2,4,72.72727272727273
183,65,2,6,2,2,2,N,9,0,1,4,6,0,N,2,3,25-00703,1,1,22,2,6,2,2,2,N,1,0,N,4,81.81818181818183
184,77,2,6,2,2,2,N,7,0,1,12,3,0,N,1,7,25-01000,1,2,87,2,6,2,2,2,N,1,0,N,6,81.81818181818183
